                                     | Core 0     | Core 1    
  Instructions                       |    1401957 |    1402193
  Cycles                             |   12609907 |   12609907
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4740567 |    4740567
  Idle time (ns)                     |    3385402 |    3384794
  Idle time (%)                      |      71.4% |      71.4%
Branch predictor stats               |            |           
  num correct                        |     110770 |     110726
  num incorrect                      |        349 |        350
  misprediction rate                 |      0.31% |      0.32%
  mpki                               |       0.25 |       0.25
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19251 |      19332
    num cache misses                 |         22 |         25
    miss rate                        |      0.11% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     950403 |     950595
    num cache misses                 |       2045 |       2138
    miss rate                        |      0.22% |      0.22%
    mpki                             |       1.46 |       1.52
  Cache L2                           |            |           
    num cache accesses               |       2309 |       2310
    num cache misses                 |         32 |         18
    miss rate                        |      1.39% |      0.78%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         34 |         21
    num cache misses                 |         32 |         18
    miss rate                        |     94.12% |     85.71%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      95.84 |        inf
  average dram queueing delay        |      42.41 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
