                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1401781 |    1402352 |    1402820 |    1402039
  Cycles                             |   25016700 |   25016700 |   25016700 |   25016700
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9404775 |    9404775 |    9404775 |    9404775
  Idle time (ns)                     |    8047894 |    8047021 |    8046816 |    8048127
  Idle time (%)                      |      85.6% |      85.6% |      85.6% |      85.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     110622 |     110692 |     110734 |     110782
  num incorrect                      |        390 |        399 |        415 |        403
  misprediction rate                 |      0.35% |      0.36% |      0.37% |      0.36%
  mpki                               |       0.28 |       0.28 |       0.30 |       0.29
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19342 |      19353 |      19384 |      19222
    num cache misses                 |         24 |         24 |         25 |         23
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     950480 |     950652 |     950806 |     950357
    num cache misses                 |       2065 |       2136 |       2183 |       2140
    miss rate                        |      0.22% |      0.22% |      0.23% |      0.23%
    mpki                             |       1.47 |       1.52 |       1.56 |       1.53
  Cache L2                           |            |            |            |           
    num cache accesses               |       2249 |       2358 |       2408 |       2361
    num cache misses                 |         23 |         27 |         10 |         10
    miss rate                        |      1.02% |      1.15% |      0.42% |      0.42%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |         31 |         13 |         13
    num cache misses                 |         23 |         27 |         10 |         10
    miss rate                        |     95.83% |     87.10% |     76.92% |     76.92%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     129.50 |        inf |        inf |        inf
  average dram queueing delay        |      76.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          7 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
