                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     100853 |     100839 |      99889 |      99512 |     100513 |     100674 |     100991 |     100151
  Cycles                             |    1557365 |    1557365 |    1557365 |    1557365 |    1557365 |    1557365 |    1557365 |    1557365
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     585476 |     585476 |     585476 |     585476 |     585476 |     585476 |     585476 |     585476
  Idle time (ns)                     |     518986 |     520096 |     522850 |     528429 |     522770 |     527534 |     520695 |     522868
  Idle time (%)                      |      88.6% |      88.8% |      89.3% |      90.3% |      89.3% |      90.1% |      88.9% |      89.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10780 |      10772 |      10751 |      10811 |      10827 |      10846 |      10746 |      10754
  num incorrect                      |        690 |        709 |        648 |        598 |        627 |        671 |        732 |        669
  misprediction rate                 |      6.02% |      6.18% |      5.68% |      5.24% |      5.47% |      5.83% |      6.38% |      5.86%
  mpki                               |       6.84 |       7.03 |       6.49 |       6.01 |       6.24 |       6.67 |       7.25 |       6.68
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17977 |      17979 |      17864 |      17797 |      17941 |      17905 |      17994 |      17909
    num cache misses                 |         24 |         26 |         26 |         25 |         25 |         24 |         25 |         25
    miss rate                        |      0.13% |      0.14% |      0.15% |      0.14% |      0.14% |      0.13% |      0.14% |      0.14%
    mpki                             |       0.24 |       0.26 |       0.26 |       0.25 |       0.25 |       0.24 |       0.25 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53379 |      53375 |      52970 |      52804 |      53246 |      53250 |      53454 |      53112
    num cache misses                 |       2854 |       2683 |       2677 |       2535 |       2561 |       2604 |       2707 |       2603
    miss rate                        |      5.35% |      5.03% |      5.05% |      4.80% |      4.81% |      4.89% |      5.06% |      4.90%
    mpki                             |      28.30 |      26.61 |      26.80 |      25.47 |      25.48 |      25.87 |      26.80 |      25.99
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3597 |       3435 |       3429 |       3235 |       3265 |       3259 |       3552 |       3311
    num cache misses                 |       1322 |       1243 |       1173 |       1020 |       1295 |       1079 |       1236 |       1241
    miss rate                        |     36.75% |     36.19% |     34.21% |     31.53% |     39.66% |     33.11% |     34.80% |     37.48%
    mpki                             |      13.11 |      12.33 |      11.74 |      10.25 |      12.88 |      10.72 |      12.24 |      12.39
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1775 |       1693 |       1625 |       1372 |       1730 |       1426 |       1669 |       1639
    num cache misses                 |         17 |         30 |          6 |          6 |          7 |          6 |          7 |          6
    miss rate                        |      0.96% |      1.77% |      0.37% |      0.44% |      0.40% |      0.42% |      0.42% |      0.37%
    mpki                             |       0.17 |       0.30 |       0.06 |       0.06 |       0.07 |       0.06 |       0.07 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     137.24 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      83.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          9 |          5 |          5 |          5 |          6 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
