                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     232672 |     232557 |     232554 |     232995 |     232454 |     232508 |     232380 |     231676 |     232539 |     232061 |     232094 |     232680 |     232193 |     232409 |     232800 |     233498
  Cycles                             |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681 |   12052681
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083 |    4531083
  Idle time (ns)                     |    4337197 |    4337208 |    4335666 |    4335616 |    4338595 |    4334981 |    4336580 |    4335918 |    4336087 |    4336854 |    4338477 |    4335851 |    4338814 |    4336048 |    4336966 |    4335084
  Idle time (%)                      |      95.7% |      95.7% |      95.7% |      95.7% |      95.8% |      95.7% |      95.7% |      95.7% |      95.7% |      95.7% |      95.7% |      95.7% |      95.8% |      95.7% |      95.7% |      95.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20200 |      20241 |      20227 |      20170 |      20226 |      20204 |      20227 |      20151 |      20095 |      20118 |      20094 |      20162 |      20175 |      20142 |      20194 |      20182
  num incorrect                      |       1242 |       1226 |       1233 |       1298 |       1209 |       1266 |       1188 |       1233 |       1335 |       1299 |       1254 |       1294 |       1234 |       1320 |       1289 |       1316
  misprediction rate                 |      5.79% |      5.71% |      5.75% |      6.05% |      5.64% |      5.90% |      5.55% |      5.77% |      6.23% |      6.07% |      5.87% |      6.03% |      5.76% |      6.15% |      6.00% |      6.12%
  mpki                               |       5.34 |       5.27 |       5.30 |       5.57 |       5.20 |       5.44 |       5.11 |       5.32 |       5.74 |       5.60 |       5.40 |       5.56 |       5.31 |       5.68 |       5.54 |       5.64
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19628 |      19599 |      19600 |      19663 |      19632 |      19587 |      19618 |      19503 |      19644 |      19556 |      19626 |      19642 |      19584 |      19568 |      19625 |      19746
    num cache misses                 |         24 |         24 |         24 |         25 |         24 |         23 |         24 |         25 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     140456 |     140369 |     140377 |     140597 |     140374 |     140354 |     140350 |     140037 |     140420 |     140189 |     140296 |     140452 |     140242 |     140307 |     140464 |     140809
    num cache misses                 |       4570 |       4398 |       4464 |       4468 |       4354 |       4325 |       4350 |       4339 |       4360 |       4223 |       4251 |       4359 |       4191 |       4362 |       4221 |       4361
    miss rate                        |      3.25% |      3.13% |      3.18% |      3.18% |      3.10% |      3.08% |      3.10% |      3.10% |      3.10% |      3.01% |      3.03% |      3.10% |      2.99% |      3.11% |      3.01% |      3.10%
    mpki                             |      19.64 |      18.91 |      19.20 |      19.18 |      18.73 |      18.60 |      18.72 |      18.73 |      18.75 |      18.20 |      18.32 |      18.73 |      18.05 |      18.77 |      18.13 |      18.68
