                                     | Core 0     | Core 1    
  Instructions                       |    4620991 |    4606602
  Cycles                             |    7035572 |    7035572
  IPC                                |       0.66 |       0.65
  Time (ns)                          |    2644952 |    2644952
  Idle time (ns)                     |      90491 |      95972
  Idle time (%)                      |       3.4% |       3.6%
Branch predictor stats               |            |           
  num correct                        |     647164 |     644771
  num incorrect                      |        341 |        340
  misprediction rate                 |      0.05% |      0.05%
  mpki                               |       0.07 |       0.07
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1300998 |    1296217
    num cache misses                 |         14 |         17
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2567526 |    2560344
    num cache misses                 |       4225 |       4365
    miss rate                        |      0.16% |      0.17%
    mpki                             |       0.91 |       0.95
  Cache L2                           |            |           
    num cache accesses               |       4384 |       4385
    num cache misses                 |         23 |          9
    miss rate                        |      0.52% |      0.21%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         25 |         12
    num cache misses                 |         23 |          9
    miss rate                        |     92.00% |     75.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     100.39 |        inf
  average dram queueing delay        |      46.96 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
