                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     641089 |     601563 |     617685 |     632649
  Cycles                             |    1114669 |    1114669 |    1114669 |    1114669
  IPC                                |       0.58 |       0.54 |       0.55 |       0.57
  Time (ns)                          |     419049 |     419049 |     419049 |     419049
  Idle time (ns)                     |      37358 |      62284 |      52128 |      46479
  Idle time (%)                      |       8.9% |      14.9% |      12.4% |      11.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      88877 |      82263 |      84922 |      87424
  num incorrect                      |        311 |        339 |        367 |        359
  misprediction rate                 |      0.35% |      0.41% |      0.43% |      0.41%
  mpki                               |       0.49 |       0.56 |       0.59 |       0.57
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31015 |      31020 |      31020 |      31020
    num cache misses                 |         14 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     352575 |     332815 |     340876 |     348358
    num cache misses                 |      60920 |      53262 |      54541 |      54545
    miss rate                        |     17.28% |     16.00% |     16.00% |     15.66%
    mpki                             |      95.03 |      88.54 |      88.30 |      86.22
  Cache L2                           |            |            |            |           
    num cache accesses               |      60989 |      53361 |      54619 |      54646
    num cache misses                 |         24 |          5 |         13 |          5
    miss rate                        |      0.04% |      0.01% |      0.02% |      0.01%
    mpki                             |       0.04 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         26 |          8 |         16 |          8
    num cache misses                 |         24 |          5 |         13 |          5
    miss rate                        |     92.31% |     62.50% |     81.25% |     62.50%
    mpki                             |       0.04 |       0.01 |       0.02 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     116.59 |        inf |        inf |        inf
  average dram queueing delay        |      63.16 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          7 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
