                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5370194 |    5712284 |    6635685 |    5786637 |    6708969 |    6930942 |    6482223 |    8192393
  Cycles                             |   28931385 |   28931385 |   28931385 |   28931385 |   28931385 |   28931385 |   28931385 |   28931385
  IPC                                |       0.19 |       0.20 |       0.23 |       0.20 |       0.23 |       0.24 |       0.22 |       0.28
  Time (ns)                          |   10876461 |   10876461 |   10876461 |   10876461 |   10876461 |   10876461 |   10876461 |   10876461
  Idle time (ns)                     |    1807255 |     892578 |     187853 |    1955501 |     459050 |     653998 |    1132000 |      83104
  Idle time (%)                      |      16.6% |       8.2% |       1.7% |      18.0% |       4.2% |       6.0% |      10.4% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     772143 |     829158 |     982992 |     841563 |     995261 |    1032222 |     957445 |    1242488
  num incorrect                      |        231 |        225 |        297 |        218 |        242 |        279 |        267 |        252
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211019 |     211027 |     211020 |     211020 |     211020 |     211015 |     211020 |     211018
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2942125 |    3113163 |    3574876 |    3150352 |    3611518 |    3722513 |    3498145 |    4353230
    num cache misses                 |     378650 |     382294 |     404215 |     348341 |     433305 |     421650 |     399434 |     447451
    miss rate                        |     12.87% |     12.28% |     11.31% |     11.06% |     12.00% |     11.33% |     11.42% |     10.28%
    mpki                             |      70.51 |      66.92 |      60.92 |      60.20 |      64.59 |      60.84 |      61.62 |      54.62
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     378670 |     382315 |     404236 |     348363 |     433358 |     421715 |     399492 |     447504
    num cache misses                 |     210138 |     209698 |     224850 |     176520 |     213065 |     203679 |     196406 |     207921
    miss rate                        |     55.49% |     54.85% |     55.62% |     50.67% |     49.17% |     48.30% |     49.16% |     46.46%
    mpki                             |      39.13 |      36.71 |      33.88 |      30.50 |      31.76 |      29.39 |      30.30 |      25.38
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     210139 |     209701 |     224853 |     176523 |     213097 |     203720 |     196443 |     207957
    num cache misses                 |         16 |         11 |          3 |          3 |          4 |          3 |          3 |          8
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     132.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      79.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          6 |          3 |          3 |          4 |          3 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
