                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    9331245 |   11897801 |    9753225 |   11976843 |   11683185 |   12001275 |   11474283 |    8108307 |    9103821 |   10716873 |   10966359 |   11015709 |   10534689 |   11056281 |   10453551 |   10412061
  Cycles                             |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978 |   58391978
  IPC                                |       0.16 |       0.20 |       0.17 |       0.21 |       0.20 |       0.21 |       0.20 |       0.14 |       0.16 |       0.18 |       0.19 |       0.19 |       0.18 |       0.19 |       0.18 |       0.18
  Time (ns)                          |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872 |   21951872
  Idle time (ns)                     |    3787445 |      71746 |    3717302 |     554780 |     475449 |     447727 |    1030487 |    6227352 |    3342224 |    1069851 |    1041341 |    1104843 |    1250944 |     907764 |    1867982 |    1961776
  Idle time (%)                      |      17.3% |       0.3% |      16.9% |       2.5% |       2.2% |       2.0% |       4.7% |      28.4% |      15.2% |       4.9% |       4.7% |       5.0% |       5.7% |       4.1% |       8.5% |       8.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1432335 |    1860097 |    1502644 |    1873242 |    1824320 |    1877298 |    1789465 |    1228509 |    1394428 |    1663272 |    1704811 |    1713045 |    1632888 |    1719824 |    1619366 |    1612465
  num incorrect                      |        213 |        211 |        235 |        240 |        219 |        256 |        257 |        217 |        217 |        215 |        257 |        248 |        235 |        231 |        234 |        220
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     211017 |     211018 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4922654 |    6205934 |    5133646 |    6245455 |    6098626 |    6257671 |    5994175 |    4311187 |    4808944 |    5615470 |    5740213 |    5764888 |    5524378 |    5785174 |    5483809 |    5463064
    num cache misses                 |     616103 |     680229 |     575210 |     666633 |     650237 |     649682 |     633129 |     468954 |     628877 |     659655 |     661655 |     662020 |     635434 |     643515 |     619416 |     617601
    miss rate                        |     12.52% |     10.96% |     11.20% |     10.67% |     10.66% |     10.38% |     10.56% |     10.88% |     13.08% |     11.75% |     11.53% |     11.48% |     11.50% |     11.12% |     11.30% |     11.31%
    mpki                             |      66.03 |      57.17 |      58.98 |      55.66 |      55.66 |      54.13 |      55.18 |      57.84 |      69.08 |      61.55 |      60.33 |      60.10 |      60.32 |      58.20 |      59.25 |      59.32
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     616149 |     680274 |     575259 |     666682 |     650282 |     649732 |     633186 |     469007 |     628925 |     659700 |     661708 |     662075 |     635486 |     643559 |     619465 |     617645
    num cache misses                 |     396209 |     441326 |     357288 |     424991 |     441359 |     438481 |     428153 |     317306 |     410368 |     419768 |     420530 |     416429 |     424765 |     429940 |     408763 |     405517
    miss rate                        |     64.30% |     64.87% |     62.11% |     63.75% |     67.87% |     67.49% |     67.62% |     67.65% |     65.25% |     63.63% |     63.55% |     62.90% |     66.84% |     66.81% |     65.99% |     65.66%
    mpki                             |      42.46 |      37.09 |      36.63 |      35.48 |      37.78 |      36.54 |      37.31 |      39.13 |      45.08 |      39.17 |      38.35 |      37.80 |      40.32 |      38.89 |      39.10 |      38.95
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     396237 |     441355 |     357320 |     425023 |     441388 |     438513 |     428190 |     317342 |     410400 |     419797 |     420565 |     416467 |     424800 |     429967 |     408795 |     405542
    num cache misses                 |     135192 |     166817 |     142644 |     171099 |     165793 |     171284 |     171351 |     123386 |     135069 |     159772 |     164027 |     166010 |     159028 |     165193 |     157059 |     157384
    miss rate                        |     34.12% |     37.80% |     39.92% |     40.26% |     37.56% |     39.06% |     40.02% |     38.88% |     32.91% |     38.06% |     39.00% |     39.86% |     37.44% |     38.42% |     38.42% |     38.81%
    mpki                             |      14.49 |      14.02 |      14.63 |      14.29 |      14.19 |      14.27 |      14.93 |      15.22 |      14.84 |      14.91 |      14.96 |      15.07 |      15.10 |      14.94 |      15.02 |      15.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
