                                     | Core 0     | Core 1    
  Instructions                       |    8467471 |    9324127
  Cycles                             |    6730902 |    6730902
  IPC                                |       1.26 |       1.39
  Time (ns)                          |    2530415 |    2530415
  Idle time (ns)                     |     142393 |      13387
  Idle time (%)                      |       5.6% |       0.5%
Branch predictor stats               |            |           
  num correct                        |    1525513 |    1696837
  num incorrect                      |        387 |        387
  misprediction rate                 |      0.03% |      0.02%
  mpki                               |       0.05 |       0.04
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     211018 |     211028
    num cache misses                 |         16 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    5202710 |    5716683
    num cache misses                 |       3800 |       3712
    miss rate                        |      0.07% |      0.06%
    mpki                             |       0.45 |       0.40
  Cache L2                           |            |           
    num cache accesses               |       3817 |       3822
    num cache misses                 |         10 |         23
    miss rate                        |      0.26% |      0.60%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         11 |         27
    num cache misses                 |         10 |         23
    miss rate                        |     90.91% |     85.19%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     122.44 |        inf
  average dram queueing delay        |      69.02 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          9
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
