                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     265323 |     248739 |     266351 |     252454
  Cycles                             |     225697 |     225697 |     225697 |     225697
  IPC                                |       1.18 |       1.10 |       1.18 |       1.12
  Time (ns)                          |      84849 |      84849 |      84849 |      84849
  Idle time (ns)                     |      37782 |      41266 |      37337 |      38133
  Idle time (%)                      |      44.5% |      48.6% |      44.0% |      44.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      43672 |      40382 |      43875 |      41046
  num incorrect                      |        198 |        174 |        204 |        253
  misprediction rate                 |      0.45% |      0.43% |      0.46% |      0.61%
  mpki                               |       0.75 |       0.70 |       0.77 |       1.00
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      13018 |      13016 |      13014 |      13020
    num cache misses                 |         16 |         16 |         15 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     162620 |     152684 |     163251 |     154905
    num cache misses                 |      44423 |      36620 |      38314 |      36079
    miss rate                        |     27.32% |     23.98% |     23.47% |     23.29%
    mpki                             |     167.43 |     147.22 |     143.85 |     142.91
  Cache L2                           |            |            |            |           
    num cache accesses               |      44525 |      36726 |      38440 |      36210
    num cache misses                 |         21 |          7 |         10 |          9
    miss rate                        |      0.05% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.08 |       0.03 |       0.04 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |         10 |         14 |         12
    num cache misses                 |         21 |          7 |         10 |          9
    miss rate                        |     95.45% |     70.00% |     71.43% |     75.00%
    mpki                             |       0.08 |       0.03 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     121.33 |        inf |        inf |        inf
  average dram queueing delay        |      67.90 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
