                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     621591 |     613525 |     723989 |     763030 |     619835 |     651380 |     722885 |     825222
  Cycles                             |    2406397 |    2406397 |    2406397 |    2406397 |    2406397 |    2406397 |    2406397 |    2406397
  IPC                                |       0.26 |       0.25 |       0.30 |       0.32 |       0.26 |       0.27 |       0.30 |       0.34
  Time (ns)                          |     904661 |     904661 |     904661 |     904661 |     904661 |     904661 |     904661 |     904661
  Idle time (ns)                     |     121772 |     180177 |      93627 |     145050 |     154697 |     177473 |     133984 |      83154
  Idle time (%)                      |      13.5% |      19.9% |      10.3% |      16.0% |      17.1% |      19.6% |      14.8% |       9.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     100474 |      98829 |     120881 |     128723 |     100102 |     106402 |     120705 |     141122
  num incorrect                      |        250 |        283 |        325 |        290 |        272 |        281 |        279 |        329
  misprediction rate                 |      0.25% |      0.29% |      0.27% |      0.22% |      0.27% |      0.26% |      0.23% |      0.23%
  mpki                               |       0.40 |       0.46 |       0.45 |       0.38 |       0.44 |       0.43 |       0.39 |       0.40
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31018 |      31021 |      31016 |      31021 |      31021 |      31021 |      31021 |      31019
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.03 |       0.03 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     387182 |     382345 |     448634 |     472048 |     386131 |     405058 |     447961 |     509363
    num cache misses                 |      34787 |      30168 |      33670 |      32684 |      30245 |      29627 |      32025 |      33124
    miss rate                        |      8.98% |      7.89% |      7.51% |      6.92% |      7.83% |      7.31% |      7.15% |      6.50%
    mpki                             |      55.96 |      49.17 |      46.51 |      42.83 |      48.80 |      45.48 |      44.30 |      40.14
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      35001 |      30361 |      33887 |      32882 |      30328 |      29690 |      32139 |      33281
    num cache misses                 |      19136 |      15253 |      17698 |      16119 |      16777 |      16102 |      17451 |      18243
    miss rate                        |     54.67% |     50.24% |     52.23% |     49.02% |     55.32% |     54.23% |     54.30% |     54.82%
    mpki                             |      30.79 |      24.86 |      24.45 |      21.12 |      27.07 |      24.72 |      24.14 |      22.11
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      19261 |      15391 |      17853 |      16246 |      16807 |      16115 |      17498 |      18341
    num cache misses                 |         19 |         10 |         10 |          8 |         13 |         12 |         10 |         13
    miss rate                        |      0.10% |      0.06% |      0.06% |      0.05% |      0.08% |      0.07% |      0.06% |      0.07%
    mpki                             |       0.03 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     156.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     103.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          5 |          4 |          6 |          4 |          4 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
