                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     239231 |     195351 |     273255 |     285585 |     308117 |     287030 |     234405 |     235251 |     284844 |     249751 |     302385 |     285325 |     280330 |     271014 |     282035 |     292375
  Cycles                             |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474 |    1243474
  IPC                                |       0.19 |       0.16 |       0.22 |       0.23 |       0.25 |       0.23 |       0.19 |       0.19 |       0.23 |       0.20 |       0.24 |       0.23 |       0.23 |       0.22 |       0.23 |       0.24
  Time (ns)                          |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472 |     467472
  Idle time (ns)                     |     146892 |     227514 |     115022 |     119916 |      94473 |     100112 |     178967 |     153457 |      71782 |     124636 |      74055 |      83165 |      79480 |      97116 |      89678 |      75985
  Idle time (%)                      |      31.4% |      48.7% |      24.6% |      25.7% |      20.2% |      21.4% |      38.3% |      32.8% |      15.4% |      26.7% |      15.8% |      17.8% |      17.0% |      20.8% |      19.2% |      16.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      38533 |      29755 |      45322 |      47797 |      52306 |      48050 |      37521 |      37725 |      47641 |      40631 |      51146 |      47723 |      46656 |      44836 |      47063 |      49162
  num incorrect                      |        119 |        120 |        138 |        129 |        126 |        165 |        169 |        134 |        136 |        126 |        138 |        149 |        217 |        174 |        151 |        120
  misprediction rate                 |      0.31% |      0.40% |      0.30% |      0.27% |      0.24% |      0.34% |      0.45% |      0.35% |      0.28% |      0.31% |      0.27% |      0.31% |      0.46% |      0.39% |      0.32% |      0.24%
  mpki                               |       0.50 |       0.61 |       0.51 |       0.45 |       0.41 |       0.57 |       0.72 |       0.57 |       0.48 |       0.50 |       0.46 |       0.52 |       0.77 |       0.64 |       0.54 |       0.41
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13018 |      13016 |      13016 |      13016 |      13016 |      13016 |      13016 |      13016 |      13014 |      13021 |      13021 |      13021 |      13021 |      13021 |      13021 |      13021
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.07 |       0.08 |       0.06 |       0.06 |       0.05 |       0.06 |       0.07 |       0.07 |       0.05 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     146966 |     120639 |     167394 |     174792 |     188310 |     175659 |     144084 |     144591 |     174346 |     153280 |     184861 |     174625 |     171628 |     166039 |     172651 |     178855
    num cache misses                 |      11613 |       8447 |      11797 |      11875 |      12638 |      12126 |       9476 |      10617 |      14936 |      12045 |      13606 |      13229 |      13242 |      12621 |      12757 |      13031
    miss rate                        |      7.90% |      7.00% |      7.05% |      6.79% |      6.71% |      6.90% |      6.58% |      7.34% |      8.57% |      7.86% |      7.36% |      7.58% |      7.72% |      7.60% |      7.39% |      7.29%
    mpki                             |      48.54 |      43.24 |      43.17 |      41.58 |      41.02 |      42.25 |      40.43 |      45.13 |      52.44 |      48.23 |      45.00 |      46.36 |      47.24 |      46.57 |      45.23 |      44.57
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11715 |       8537 |      11908 |      12000 |      12740 |      12245 |       9577 |      10734 |      15021 |      12163 |      13673 |      13341 |      13362 |      12733 |      12850 |      13131
    num cache misses                 |       7799 |       5420 |       7789 |       7881 |       8480 |       8059 |       6176 |       7090 |       9336 |       7454 |       8358 |       8466 |       8811 |       8146 |       8299 |       8624
    miss rate                        |     66.57% |     63.49% |     65.41% |     65.67% |     66.56% |     65.81% |     64.49% |     66.05% |     62.15% |     61.28% |     61.13% |     63.46% |     65.94% |     63.98% |     64.58% |     65.68%
    mpki                             |      32.60 |      27.74 |      28.50 |      27.60 |      27.52 |      28.08 |      26.35 |      30.14 |      32.78 |      29.85 |      27.64 |      29.67 |      31.43 |      30.06 |      29.43 |      29.50
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7872 |       5479 |       7869 |       7980 |       8553 |       8123 |       6254 |       7186 |       9389 |       7553 |       8402 |       8557 |       8894 |       8224 |       8359 |       8706
    num cache misses                 |       2860 |       2378 |       3419 |       3464 |       3847 |       3648 |       2731 |       3007 |       3202 |       3199 |       3164 |       3479 |       3308 |       3484 |       3420 |       3319
    miss rate                        |     36.33% |     43.40% |     43.45% |     43.41% |     44.98% |     44.91% |     43.67% |     41.85% |     34.10% |     42.35% |     37.66% |     40.66% |     37.19% |     42.36% |     40.91% |     38.12%
    mpki                             |      11.95 |      12.17 |      12.51 |      12.13 |      12.49 |      12.71 |      11.65 |      12.78 |      11.24 |      12.81 |      10.46 |      12.19 |      11.80 |      12.86 |      12.13 |      11.35
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     255.10 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     201.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          6 |          3 |          3 |          3 |          3 |          3 |          4 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1259 |       1000 |       1523 |       1543 |       1576 |       1484 |       1219 |       1349 |       1450 |       1437 |       1570 |       1625 |       1628 |       1617 |       1573 |       1573
