                                     | Core 0     | Core 1    
  Instructions                       |    7106477 |    7621882
  Cycles                             |    6677038 |    6677038
  IPC                                |       1.06 |       1.14
  Time (ns)                          |    2510165 |    2510165
  Idle time (ns)                     |     109655 |      12489
  Idle time (%)                      |       4.4% |       0.5%
Branch predictor stats               |            |           
  num correct                        |    1540466 |    1669311
  num incorrect                      |        402 |        411
  misprediction rate                 |      0.03% |      0.02%
  mpki                               |       0.06 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     212018 |     212014
    num cache misses                 |         16 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    3809765 |    4067472
    num cache misses                 |       2383 |       2570
    miss rate                        |      0.06% |      0.06%
    mpki                             |       0.34 |       0.34
  Cache L2                           |            |           
    num cache accesses               |       3429 |       3428
    num cache misses                 |         26 |          6
    miss rate                        |      0.76% |      0.18%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         28 |          9
    num cache misses                 |         26 |          6
    miss rate                        |     92.86% |     66.67%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |      80.39 |        inf
  average dram queueing delay        |      26.96 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
