                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   20511037 |   17669775 |   20331745 |   20058668
  Cycles                             |   13351847 |   13351847 |   13351847 |   13351847
  IPC                                |       1.54 |       1.32 |       1.52 |       1.50
  Time (ns)                          |    5019492 |    5019492 |    5019492 |    5019492
  Idle time (ns)                     |      92097 |     625921 |     123104 |     173292
  Idle time (%)                      |       1.8% |      12.5% |       2.5% |       3.5%
Branch predictor stats               |            |            |            |           
  num correct                        |    4891426 |    4181134 |    4846560 |    4778257
  num incorrect                      |        570 |        563 |        627 |        656
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9786948 |    8366368 |    9697344 |    9560786
    num cache misses                 |         14 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10512033 |    9091419 |   10422402 |   10285858
    num cache misses                 |       6493 |       5769 |       6455 |       6230
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.32 |       0.33 |       0.32 |       0.31
  Cache L2                           |            |            |            |           
    num cache accesses               |       7601 |       6799 |       7435 |       7243
    num cache misses                 |         19 |         16 |          6 |          8
    miss rate                        |      0.25% |      0.24% |      0.08% |      0.11%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         20 |         20 |          9 |         11
    num cache misses                 |         19 |         16 |          6 |          8
    miss rate                        |     95.00% |     80.00% |     66.67% |     72.73%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     112.81 |        inf |        inf |        inf
  average dram queueing delay        |      59.38 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          5 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
