                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3104333 |    3578189 |    3826807 |    3671395 |    3812964 |    3673911 |    3352243 |    3486327
  Cycles                             |    2581215 |    2581215 |    2581215 |    2581215 |    2581215 |    2581215 |    2581215 |    2581215
  IPC                                |       1.20 |       1.39 |       1.48 |       1.42 |       1.48 |       1.42 |       1.30 |       1.35
  Time (ns)                          |     970382 |     970382 |     970382 |     970382 |     970382 |     970382 |     970382 |     970382
  Idle time (ns)                     |     213967 |     138311 |      86342 |     130734 |      83161 |     119605 |     201874 |     160282
  Idle time (%)                      |      22.0% |      14.3% |       8.9% |      13.5% |       8.6% |      12.3% |      20.8% |      16.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     742278 |     860695 |     922890 |     884036 |     919308 |     884740 |     804251 |     837759
  num incorrect                      |        537 |        581 |        550 |        545 |        664 |        480 |        543 |        555
  misprediction rate                 |      0.07% |      0.07% |      0.06% |      0.06% |      0.07% |      0.05% |      0.07% |      0.07%
  mpki                               |       0.17 |       0.16 |       0.14 |       0.15 |       0.17 |       0.13 |       0.16 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      32018 |      32022 |      32022 |      32022 |      32015 |      32022 |      32022 |      32021
    num cache misses                 |         16 |         17 |         17 |         17 |         16 |         17 |         17 |         17
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1583676 |    1820594 |    1944920 |    1867208 |    1937998 |    1868476 |    1707633 |    1774664
    num cache misses                 |       7613 |       8239 |       8582 |       8031 |       8229 |       7790 |       6763 |       7186
    miss rate                        |      0.48% |      0.45% |      0.44% |      0.43% |      0.42% |      0.42% |      0.40% |      0.40%
    mpki                             |       2.45 |       2.30 |       2.24 |       2.19 |       2.16 |       2.12 |       2.02 |       2.06
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8791 |       9195 |       9569 |       8967 |       9056 |       8749 |       7707 |       8184
    num cache misses                 |       2227 |       1721 |       1722 |       1241 |       2188 |       1801 |       1365 |       1590
    miss rate                        |     25.33% |     18.72% |     18.00% |     13.84% |     24.16% |     20.59% |     17.71% |     19.43%
    mpki                             |       0.72 |       0.48 |       0.45 |       0.34 |       0.57 |       0.49 |       0.41 |       0.46
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3020 |       2286 |       2515 |       1942 |       2840 |       2574 |       1913 |       2435
    num cache misses                 |         19 |          8 |         10 |         16 |          8 |          7 |          8 |         10
    miss rate                        |      0.63% |      0.35% |      0.40% |      0.82% |      0.28% |      0.27% |      0.42% |      0.41%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     154.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     101.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          7 |          3 |          4 |          5 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
