                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   95419511 |   84324260 |   88846872 |   94911371 |   95972705 |   93845333 |   93203140 |   95429703 |   91470367 |   90896688 |   93064553 |   74411937 |   89782124 |   88367443 |   87930571 |   95461096
  Cycles                             |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587 |   52409587
  IPC                                |       1.82 |       1.61 |       1.70 |       1.81 |       1.83 |       1.79 |       1.78 |       1.82 |       1.75 |       1.73 |       1.78 |       1.42 |       1.71 |       1.69 |       1.68 |       1.82
  Time (ns)                          |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852 |   19702852
  Idle time (ns)                     |     178990 |    2387005 |    1515234 |     301015 |      95882 |     515343 |     654406 |     218792 |     965790 |    1107351 |     685241 |    4302442 |    1323068 |    1599845 |    1690041 |     217224
  Idle time (%)                      |       0.9% |      12.1% |       7.7% |       1.5% |       0.5% |       2.6% |       3.3% |       1.1% |       4.9% |       5.6% |       3.5% |      21.8% |       6.7% |       8.1% |       8.6% |       1.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   23618226 |   20844576 |   21975209 |   23491191 |   23756579 |   23224751 |   23064265 |   23620776 |   22631019 |   22487602 |   23029546 |   18366487 |   22208941 |   21855294 |   21746168 |   23628614
  num incorrect                      |        873 |        734 |        742 |        883 |        826 |        824 |        760 |        892 |        811 |        807 |        838 |        732 |        825 |        810 |        714 |        891
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   47241124 |   41693575 |   43954833 |   46987074 |   47517730 |   46454103 |   46132995 |   47246284 |   45266605 |   44979757 |   46063720 |   36737391 |   44422467 |   43715158 |   43496710 |   47261937
    num cache misses                 |         16 |         15 |         15 |         15 |         14 |         16 |         15 |         15 |         15 |         15 |         15 |         16 |         15 |         15 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   47966254 |   42418653 |   44679947 |   47712193 |   48242858 |   47179187 |   46858088 |   47971370 |   45991701 |   45704859 |   46788797 |   37462481 |   45147575 |   44440241 |   44221803 |   47987057
    num cache misses                 |      24378 |      20936 |      22140 |      24161 |      24250 |      23650 |      23344 |      24040 |      22880 |      22560 |      23136 |      18426 |      22090 |      21710 |      21522 |      23758
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.26 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.25
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25557 |      21985 |      23207 |      25226 |      25248 |      24719 |      24415 |      25100 |      24020 |      23649 |      24180 |      19499 |      23149 |      22746 |      22593 |      24834
    num cache misses                 |      13149 |      10468 |      11073 |      12584 |      12640 |      12185 |      11845 |      12276 |      11986 |      11338 |      11706 |       8893 |      10917 |      10652 |      10497 |      12392
    miss rate                        |     51.45% |     47.61% |     47.71% |     49.89% |     50.06% |     49.29% |     48.52% |     48.91% |     49.90% |     47.94% |     48.41% |     45.61% |     47.16% |     46.83% |     46.46% |     49.90%
    mpki                             |       0.14 |       0.12 |       0.12 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.12 |       0.13 |       0.12 |       0.12 |       0.12 |       0.12 |       0.13
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14572 |      11760 |      12361 |      13907 |      13884 |      13515 |      13169 |      13631 |      13356 |      12662 |      13010 |      10179 |      12244 |      11957 |      11794 |      13705
    num cache misses                 |      11716 |       9423 |       9978 |      11216 |      11080 |      10642 |      10381 |      10889 |      10566 |      10071 |      10476 |       7886 |       9507 |       9346 |       9119 |      10914
    miss rate                        |     80.40% |     80.13% |     80.72% |     80.65% |     79.80% |     78.74% |     78.83% |     79.88% |     79.11% |     79.54% |     80.52% |     77.47% |     77.65% |     78.16% |     77.32% |     79.64%
    mpki                             |       0.12 |       0.11 |       0.11 |       0.12 |       0.12 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     194.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     141.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          4 |          3 |          4 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4688 |       3264 |       2967 |       2756 |       3824 |       3429 |       3066 |       3058 |       4144 |       3266 |       3194 |       2002 |       3301 |       2949 |       2754 |       3868
