                                     | Core 0     | Core 1    
  Instructions                       |     119254 |     115140
  Cycles                             |     104862 |     104862
  IPC                                |       1.14 |       1.10
  Time (ns)                          |      39422 |      39422
  Idle time (ns)                     |      14439 |      15512
  Idle time (%)                      |      36.6% |      39.3%
Branch predictor stats               |            |           
  num correct                        |      16922 |      15900
  num incorrect                      |        141 |        139
  misprediction rate                 |      0.83% |      0.87%
  mpki                               |       1.18 |       1.21
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12016 |      12021
    num cache misses                 |         13 |         15
    miss rate                        |      0.11% |      0.12%
    mpki                             |       0.11 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      69155 |      67103
    num cache misses                 |       1383 |       1329
    miss rate                        |      2.00% |      1.98%
    mpki                             |      11.60 |      11.54
  Cache L2                           |            |           
    num cache accesses               |       1839 |       1843
    num cache misses                 |         20 |         12
    miss rate                        |      1.09% |      0.65%
    mpki                             |       0.17 |       0.10
  Cache L3                           |            |           
    num cache accesses               |         21 |         16
    num cache misses                 |         20 |         12
    miss rate                        |     95.24% |     75.00%
    mpki                             |       0.17 |       0.10
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      99.19 |        inf
  average dram queueing delay        |      45.76 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
