                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   16915024 |   19719192 |   20001238 |   20553135
  Cycles                             |   13212356 |   13212356 |   13212356 |   13212356
  IPC                                |       1.28 |       1.49 |       1.51 |       1.56
  Time (ns)                          |    4967051 |    4967051 |    4967051 |    4967051
  Idle time (ns)                     |     717593 |     189218 |     137567 |      35377
  Idle time (%)                      |      14.4% |       3.8% |       2.8% |       0.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    3992706 |    4693697 |    4764236 |    4902282
  num incorrect                      |        547 |        592 |        555 |        512
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     210020 |     210021 |     210028 |     210010
    num cache misses                 |         15 |         15 |         16 |         14
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    8714535 |   10116620 |   10257633 |   10533608
    num cache misses                 |       5326 |       5986 |       6100 |       6007
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.30 |       0.30 |       0.29
  Cache L2                           |            |            |            |           
    num cache accesses               |       6405 |       6937 |       6983 |       6851
    num cache misses                 |         21 |          3 |         10 |          3
    miss rate                        |      0.33% |      0.04% |      0.14% |      0.04%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         23 |          6 |         13 |          6
    num cache misses                 |         21 |          3 |         10 |          3
    miss rate                        |     91.30% |     50.00% |     76.92% |     50.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      95.36 |        inf |        inf |        inf
  average dram queueing delay        |      41.93 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
