                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3068091 |    3492761 |    3262446 |    3619203 |    3290288 |    3581980 |    3388575 |    2938366
  Cycles                             |    2470837 |    2470837 |    2470837 |    2470837 |    2470837 |    2470837 |    2470837 |    2470837
  IPC                                |       1.24 |       1.41 |       1.32 |       1.46 |       1.33 |       1.45 |       1.37 |       1.19
  Time (ns)                          |     928886 |     928886 |     928886 |     928886 |     928886 |     928886 |     928886 |     928886
  Idle time (ns)                     |     176272 |     105419 |     170006 |      99402 |     165125 |      93334 |     145864 |     232396
  Idle time (%)                      |      19.0% |      11.3% |      18.3% |      10.7% |      17.8% |      10.0% |      15.7% |      25.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     733530 |     839520 |     782083 |     871180 |     789045 |     861875 |     813612 |     701063
  num incorrect                      |        494 |        656 |        532 |        621 |        534 |        620 |        535 |        535
  misprediction rate                 |      0.07% |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.08%
  mpki                               |       0.16 |       0.19 |       0.16 |       0.17 |       0.16 |       0.17 |       0.16 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1471030 |    1683301 |    1568191 |    1746563 |    1582129 |    1727943 |    1631252 |    1406166
    num cache misses                 |         15 |         17 |         15 |         16 |         15 |         14 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1566079 |    1778399 |    1663250 |    1841634 |    1677180 |    1823021 |    1726318 |    1501220
    num cache misses                 |       8449 |       9116 |       8129 |       8924 |       7434 |       8115 |       7564 |       6480
    miss rate                        |      0.54% |      0.51% |      0.49% |      0.48% |      0.44% |      0.45% |      0.44% |      0.43%
    mpki                             |       2.75 |       2.61 |       2.49 |       2.47 |       2.26 |       2.27 |       2.23 |       2.21
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9686 |      10118 |       9050 |       9911 |       8447 |       9073 |       8558 |       7577
    num cache misses                 |       2534 |       1948 |       1453 |       1260 |       1650 |       2086 |       1575 |       1406
    miss rate                        |     26.16% |     19.25% |     16.06% |     12.71% |     19.53% |     22.99% |     18.40% |     18.56%
    mpki                             |       0.83 |       0.56 |       0.45 |       0.35 |       0.50 |       0.58 |       0.46 |       0.48
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3347 |       2584 |       2077 |       1849 |       2333 |       2956 |       2288 |       2280
    num cache misses                 |         10 |         18 |          4 |          4 |          4 |          4 |          9 |          4
    miss rate                        |      0.30% |      0.70% |      0.19% |      0.22% |      0.17% |      0.14% |      0.39% |      0.18%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     142.24 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      88.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          6 |          3 |          4 |          3 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
