                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   94019117 |   95731085 |   83841747 |   89818261 |   90191219 |   88361107 |   92950144 |   94683656 |   86585447 |   82882757 |   96267998 |   95176575 |   95852145 |   85726063 |   95030003 |   92220890
  Cycles                             |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367 |   52497367
  IPC                                |       1.79 |       1.82 |       1.60 |       1.71 |       1.72 |       1.68 |       1.77 |       1.80 |       1.65 |       1.58 |       1.83 |       1.81 |       1.83 |       1.63 |       1.81 |       1.76
  Time (ns)                          |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852 |   19735852
  Idle time (ns)                     |     527557 |     200009 |    2507632 |    1356356 |    1283184 |    1635111 |     746383 |     408431 |    1975393 |    2695859 |      94818 |     321559 |     178786 |    2159744 |     348068 |     888722
  Idle time (%)                      |       2.7% |       1.0% |      12.7% |       6.9% |       6.5% |       8.3% |       3.8% |       2.1% |      10.0% |      13.7% |       0.5% |       1.6% |       0.9% |      10.9% |       1.8% |       4.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   23268350 |   23696460 |   20724195 |   22218259 |   22311548 |   21853990 |   23001252 |   23434656 |   21410058 |   20484469 |   23830879 |   23557847 |   23726695 |   21195232 |   23521175 |   22818978
  num incorrect                      |        912 |        800 |        735 |        795 |        750 |        777 |        769 |        752 |        794 |        712 |        611 |        778 |        821 |        771 |        810 |        737
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   46541458 |   47397470 |   41452822 |   44441058 |   44627558 |   43712488 |   46006982 |   46873780 |   42824658 |   40973320 |   47665930 |   47120180 |   47457958 |   42394952 |   47046908 |   45642390
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   47266576 |   48122565 |   42177899 |   45166153 |   45352635 |   44437577 |   46732092 |   47598854 |   43549747 |   41698403 |   48391019 |   47845305 |   48183089 |   43120053 |   47772021 |   46367470
    num cache misses                 |      23441 |      23848 |      20765 |      22197 |      22284 |      21822 |      22942 |      23388 |      21332 |      20388 |      23762 |      23414 |      23487 |      20921 |      23260 |      22536
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24 |       0.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24564 |      24917 |      21813 |      23250 |      23357 |      22881 |      24016 |      24454 |      22486 |      21446 |      24744 |      24492 |      24582 |      21992 |      24319 |      23600
    num cache misses                 |      12195 |      12470 |      10236 |      11097 |      11155 |      10878 |      11688 |      11938 |      10862 |      10212 |      12295 |      11775 |      11992 |      10213 |      11685 |      11297
    miss rate                        |     49.65% |     50.05% |     46.93% |     47.73% |     47.76% |     47.54% |     48.67% |     48.82% |     48.31% |     47.62% |     49.69% |     48.08% |     48.78% |     46.44% |     48.05% |     47.87%
    mpki                             |       0.13 |       0.13 |       0.12 |       0.12 |       0.12 |       0.12 |       0.13 |       0.13 |       0.13 |       0.12 |       0.13 |       0.12 |       0.13 |       0.12 |       0.12 |       0.12
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13600 |      13776 |      11511 |      12394 |      12484 |      12185 |      13002 |      13246 |      12253 |      11492 |      13510 |      13087 |      13316 |      11528 |      12995 |      12604
    num cache misses                 |      10800 |      11177 |       9096 |       9865 |       9714 |       9474 |      10261 |      10419 |       9657 |       9067 |      10870 |      10443 |      10440 |       8849 |      10260 |      10004
    miss rate                        |     79.41% |     81.13% |     79.02% |     79.59% |     77.81% |     77.75% |     78.92% |     78.66% |     78.81% |     78.90% |     80.46% |     79.80% |     78.40% |     76.76% |     78.95% |     79.37%
    mpki                             |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     178.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     124.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
