                                     | Core 0     | Core 1    
  Instructions                       |      96276 |      96310
  Cycles                             |     648489 |     648489
  IPC                                |       0.15 |       0.15
  Time (ns)                          |     243793 |     243793
  Idle time (ns)                     |     196495 |     196935
  Idle time (%)                      |      80.6% |      80.8%
Branch predictor stats               |            |           
  num correct                        |      10857 |      10871
  num incorrect                      |        332 |        326
  misprediction rate                 |      2.97% |      2.91%
  mpki                               |       3.45 |       3.38
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17426 |      17434
    num cache misses                 |         22 |         25
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.23 |       0.26
  Cache L1-D                         |            |           
    num cache accesses               |      51500 |      51508
    num cache misses                 |        989 |        982
    miss rate                        |      1.92% |      1.91%
    mpki                             |      10.27 |      10.20
  Cache L2                           |            |           
    num cache accesses               |       1438 |       1443
    num cache misses                 |       1011 |       1007
    miss rate                        |     70.31% |     69.79%
    mpki                             |      10.50 |      10.46
  Cache L3                           |            |           
    num cache accesses               |       1438 |       1443
    num cache misses                 |         26 |         21
    miss rate                        |      1.81% |      1.46%
    mpki                             |       0.27 |       0.22
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     135.05 |        inf
  average dram queueing delay        |      81.62 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
