                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      96683 |      97439 |      97299 |      96830
  Cycles                             |     931709 |     931709 |     931709 |     931709
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     350267 |     350267 |     350267 |     350267
  Idle time (ns)                     |     292595 |     287812 |     288473 |     293732
  Idle time (%)                      |      83.5% |      82.2% |      82.4% |      83.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      10861 |      10796 |      10841 |      10855
  num incorrect                      |        365 |        459 |        431 |        371
  misprediction rate                 |      3.25% |      4.08% |      3.82% |      3.30%
  mpki                               |       3.78 |       4.71 |       4.43 |       3.83
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17478 |      17573 |      17537 |      17484
    num cache misses                 |         24 |         25 |         24 |         26
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.15%
    mpki                             |       0.25 |       0.26 |       0.25 |       0.27
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      51636 |      51972 |      51888 |      51684
    num cache misses                 |       1625 |       1704 |       1671 |       1517
    miss rate                        |      3.15% |      3.28% |      3.22% |      2.94%
    mpki                             |      16.81 |      17.49 |      17.17 |      15.67
  Cache L2                           |            |            |            |           
    num cache accesses               |       2144 |       2263 |       2206 |       1964
    num cache misses                 |       1649 |       1737 |       1701 |       1551
    miss rate                        |     76.91% |     76.76% |     77.11% |     78.97%
    mpki                             |      17.06 |      17.83 |      17.48 |      16.02
  Cache L3                           |            |            |            |           
    num cache accesses               |       2144 |       2263 |       2206 |       1964
    num cache misses                 |         19 |          9 |          7 |         26
    miss rate                        |      0.89% |      0.40% |      0.32% |      1.32%
    mpki                             |       0.20 |       0.09 |       0.07 |       0.27
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     110.14 |        inf |        inf |        inf
  average dram queueing delay        |      56.71 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          4 |          5 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
