                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     227446 |     229178 |     229090 |     228440 |     228982 |     229493 |     229445 |     228878
  Cycles                             |    5558937 |    5558937 |    5558937 |    5558937 |    5558937 |    5558937 |    5558937 |    5558937
  IPC                                |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Time (ns)                          |    2089826 |    2089826 |    2089826 |    2089826 |    2089826 |    2089826 |    2089826 |    2089826
  Idle time (ns)                     |    1903393 |    1900588 |    1897187 |    1899029 |    1897993 |    1900968 |    1897976 |    1901519
  Idle time (%)                      |      91.1% |      90.9% |      90.8% |      90.9% |      90.8% |      91.0% |      90.8% |      91.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19828 |      19991 |      19971 |      19962 |      19929 |      20040 |      19960 |      20028
  num incorrect                      |       1174 |       1185 |       1222 |       1193 |       1237 |       1188 |       1258 |       1176
  misprediction rate                 |      5.59% |      5.60% |      5.77% |      5.64% |      5.84% |      5.60% |      5.93% |      5.55%
  mpki                               |       5.16 |       5.17 |       5.33 |       5.22 |       5.40 |       5.18 |       5.48 |       5.14
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19142 |      19285 |      19265 |      19161 |      19257 |      19295 |      19316 |      19194
    num cache misses                 |         24 |         24 |         24 |         26 |         25 |         26 |         25 |         24
    miss rate                        |      0.13% |      0.12% |      0.12% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.11 |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     138465 |     139117 |     139055 |     138768 |     139037 |     139213 |     139211 |     138920
    num cache misses                 |       3631 |       3879 |       3957 |       3795 |       3950 |       3921 |       3912 |       3706
    miss rate                        |      2.62% |      2.79% |      2.85% |      2.73% |      2.84% |      2.82% |      2.81% |      2.67%
    mpki                             |      15.96 |      16.93 |      17.27 |      16.61 |      17.25 |      17.09 |      17.05 |      16.19
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4847 |       5143 |       5209 |       5029 |       5277 |       5197 |       5237 |       4907
    num cache misses                 |       3656 |       3911 |       3992 |       3830 |       3977 |       3956 |       3946 |       3745
    miss rate                        |     75.43% |     76.05% |     76.64% |     76.16% |     75.36% |     76.12% |     75.35% |     76.32%
    mpki                             |      16.07 |      17.07 |      17.43 |      16.77 |      17.37 |      17.24 |      17.20 |      16.36
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4847 |       5143 |       5209 |       5029 |       5277 |       5197 |       5237 |       4907
    num cache misses                 |       2251 |       2457 |       2577 |       2458 |       2458 |       2452 |       2361 |       2204
    miss rate                        |     46.44% |     47.77% |     49.47% |     48.88% |     46.58% |     47.18% |     45.08% |     44.92%
    mpki                             |       9.90 |      10.72 |      11.25 |      10.76 |      10.73 |      10.68 |      10.29 |       9.63
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     130.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      77.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |          7 |          6 |          5 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1487 |       1621 |       1676 |       1578 |       1607 |       1596 |       1548 |       1425
