                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     101898 |     104127 |     103919 |     103901 |     102093 |     102928 |     103591 |     103301 |     103736 |     103969 |     103072 |     102790 |     102865 |     102944 |     103575 |     102796
  Cycles                             |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049 |    4330049
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838 |    1627838
  Idle time (ns)                     |    1546279 |    1534515 |    1536206 |    1535246 |    1538748 |    1538015 |    1531794 |    1533462 |    1533083 |    1529738 |    1535642 |    1532008 |    1537871 |    1537196 |    1532119 |    1534124
  Idle time (%)                      |      95.0% |      94.3% |      94.4% |      94.3% |      94.5% |      94.5% |      94.1% |      94.2% |      94.2% |      94.0% |      94.3% |      94.1% |      94.5% |      94.4% |      94.1% |      94.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10908 |      10864 |      10924 |      10899 |      10928 |      10939 |      10872 |      10907 |      10921 |      10896 |      10991 |      10879 |      10875 |      10852 |      10858 |      10916
  num incorrect                      |        676 |        851 |        773 |        783 |        664 |        704 |        796 |        762 |        758 |        808 |        686 |        742 |        737 |        781 |        800 |        734
  misprediction rate                 |      5.84% |      7.26% |      6.61% |      6.70% |      5.73% |      6.05% |      6.82% |      6.53% |      6.49% |      6.90% |      5.87% |      6.38% |      6.35% |      6.71% |      6.86% |      6.30%
  mpki                               |       6.63 |       8.17 |       7.44 |       7.54 |       6.50 |       6.84 |       7.68 |       7.38 |       7.31 |       7.77 |       6.66 |       7.22 |       7.16 |       7.59 |       7.72 |       7.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
