                                     | Core 0    
  Instructions                       |     184045
  Cycles                             |     222376
  IPC                                |       0.83
  Time (ns)                          |      83600
  Idle time (ns)                     |         18
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      13006
  num incorrect                      |          8
  misprediction rate                 |      0.06%
  mpki                               |       0.04
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31015
    num cache misses                 |         14
    miss rate                        |      0.05%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |     124053
    num cache misses                 |         11
    miss rate                        |      0.01%
    mpki                             |       0.06
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.14
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.14
DRAM summary                         |           
  num dram accesses                  |         25
  average dram access latency (ns)   |     125.14
  average dram queueing delay        |      71.71
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          7
  num loads from dram cache          |          0
  num loads from remote cache        |          0
