                                     | Core 0     | Core 1    
  Instructions                       |      67722 |      85245
  Cycles                             |     105637 |     105637
  IPC                                |       0.64 |       0.81
  Time (ns)                          |      39714 |      39714
  Idle time (ns)                     |      22974 |      13493
  Idle time (%)                      |      57.8% |      34.0%
Branch predictor stats               |            |           
  num correct                        |       4101 |       6985
  num incorrect                      |         26 |         57
  misprediction rate                 |      0.63% |      0.81%
  mpki                               |       0.38 |       0.67
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13017 |      13026
    num cache misses                 |         16 |         16
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.24 |       0.19
  Cache L1-D                         |            |           
    num cache accesses               |      43391 |      52145
    num cache misses                 |        347 |        377
    miss rate                        |      0.80% |      0.72%
    mpki                             |       5.12 |       4.42
  Cache L2                           |            |           
    num cache accesses               |        417 |        418
    num cache misses                 |        363 |        393
    miss rate                        |     87.05% |     94.02%
    mpki                             |       5.36 |       4.61
  Cache L3                           |            |           
    num cache accesses               |        417 |        418
    num cache misses                 |         14 |         21
    miss rate                        |      3.36% |      5.02%
    mpki                             |       0.21 |       0.25
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      96.38 |        inf
  average dram queueing delay        |      42.95 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
