                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     111123 |      80953 |     107431 |      77095
  Cycles                             |     269857 |     269857 |     269857 |     269857
  IPC                                |       0.41 |       0.30 |       0.40 |       0.29
  Time (ns)                          |     101450 |     101450 |     101450 |     101450
  Idle time (ns)                     |      14440 |      55436 |      16756 |      62532
  Idle time (%)                      |      14.2% |      54.6% |      16.5% |      61.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      11282 |       6300 |      10677 |       5655
  num incorrect                      |         78 |         34 |         70 |         39
  misprediction rate                 |      0.69% |      0.54% |      0.65% |      0.68%
  mpki                               |       0.70 |       0.42 |       0.65 |       0.51
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      13015 |      13020 |      13020 |      13013
    num cache misses                 |         14 |         16 |         16 |         16
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.13 |       0.20 |       0.15 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      65091 |      50011 |      63250 |      48089
    num cache misses                 |       2498 |       1352 |       2407 |       1124
    miss rate                        |      3.84% |      2.70% |      3.81% |      2.34%
    mpki                             |      22.48 |      16.70 |      22.41 |      14.58
  Cache L2                           |            |            |            |           
    num cache accesses               |       2566 |       1427 |       2514 |       1181
    num cache misses                 |       2512 |       1368 |       2423 |       1140
    miss rate                        |     97.90% |     95.87% |     96.38% |     96.53%
    mpki                             |      22.61 |      16.90 |      22.55 |      14.79
  Cache L3                           |            |            |            |           
    num cache accesses               |       2566 |       1427 |       2514 |       1181
    num cache misses                 |         12 |          4 |         13 |          8
    miss rate                        |      0.47% |      0.28% |      0.52% |      0.68%
    mpki                             |       0.11 |       0.05 |       0.12 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      85.26 |        inf |        inf |        inf
  average dram queueing delay        |      31.83 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
