                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5584443 |    4584919 |    5772799 |    4564519 |    4025335 |    3916081 |    4829191 |    6482784
  Cycles                             |   29376860 |   29376860 |   29376860 |   29376860 |   29376860 |   29376860 |   29376860 |   29376860
  IPC                                |       0.19 |       0.16 |       0.20 |       0.16 |       0.14 |       0.13 |       0.16 |       0.22
  Time (ns)                          |   11043933 |   11043933 |   11043933 |   11043933 |   11043933 |   11043933 |   11043933 |   11043933
  Idle time (ns)                     |     514858 |    1771171 |     420497 |    1748596 |    2983702 |    3329807 |    1697539 |      83114
  Idle time (%)                      |       4.7% |      16.0% |       3.8% |      15.8% |      27.0% |      30.2% |      15.4% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     807920 |     641349 |     839287 |     637947 |     548083 |     529876 |     682035 |     957631
  num incorrect                      |        161 |        148 |        193 |        150 |        150 |        148 |        174 |        176
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04 |       0.04 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211017 |     211015 |     211012 |     211015 |     211015 |     211015 |     211015 |     211013
    num cache misses                 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3049253 |    2549502 |    3143439 |    2539302 |    2269710 |    2215083 |    2671638 |    3498434
    num cache misses                 |     251573 |     206063 |     237124 |     203149 |     187151 |     165321 |     207894 |     240958
    miss rate                        |      8.25% |      8.08% |      7.54% |      8.00% |      8.25% |      7.46% |      7.78% |      6.89%
    mpki                             |      45.05 |      44.94 |      41.08 |      44.51 |      46.49 |      42.22 |      43.05 |      37.17
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     251615 |     206101 |     237165 |     203188 |     187192 |     165358 |     207935 |     241004
    num cache misses                 |     251589 |     206079 |     237139 |     203165 |     187167 |     165337 |     207910 |     240973
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |      45.05 |      44.95 |      41.08 |      44.51 |      46.50 |      42.22 |      43.05 |      37.17
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     251615 |     206101 |     237165 |     203188 |     187192 |     165358 |     207935 |     241004
    num cache misses                 |      92523 |      78680 |      96731 |      79732 |      66794 |      62683 |      89318 |     117578
    miss rate                        |     36.77% |     38.18% |     40.79% |     39.24% |     35.68% |     37.91% |     42.95% |     48.79%
    mpki                             |      16.57 |      17.16 |      16.76 |      17.47 |      16.59 |      16.01 |      18.50 |      18.14
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     158.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     104.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          3 |          8 |          3 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      39418 |      39640 |      43695 |      41636 |      31272 |      32001 |      39770 |      43458
