                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      85949 |     131109 |     142172 |      76137 |     138802 |     119226 |     128954 |     136173 |     133268 |     141044 |     124425 |     129219 |      98928 |     137154 |     147021 |     140016
  Cycles                             |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898 |     701898
  IPC                                |       0.12 |       0.19 |       0.20 |       0.11 |       0.20 |       0.17 |       0.18 |       0.19 |       0.19 |       0.20 |       0.18 |       0.18 |       0.14 |       0.20 |       0.21 |       0.20
  Time (ns)                          |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872 |     263872
  Idle time (ns)                     |     184527 |     109417 |      98586 |     208387 |      79081 |     111363 |      92568 |      80763 |      72879 |      75117 |      90504 |      88899 |     150722 |      85909 |      71735 |      78604
  Idle time (%)                      |      69.9% |      41.5% |      37.4% |      79.0% |      30.0% |      42.2% |      35.1% |      30.6% |      27.6% |      28.5% |      34.3% |      33.7% |      57.1% |      32.6% |      27.2% |      29.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       7110 |      14558 |      16395 |       5494 |      15807 |      12578 |      14196 |      15369 |      14886 |      16191 |      13424 |      14213 |       9241 |      15558 |      17173 |      16025
  num incorrect                      |         55 |        129 |        142 |         37 |        164 |        135 |        138 |        159 |        168 |        159 |        147 |        165 |         89 |        148 |        172 |        158
  misprediction rate                 |      0.77% |      0.88% |      0.86% |      0.67% |      1.03% |      1.06% |      0.96% |      1.02% |      1.12% |      0.97% |      1.08% |      1.15% |      0.95% |      0.94% |      0.99% |      0.98%
  mpki                               |       0.64 |       0.98 |       1.00 |       0.49 |       1.18 |       1.13 |       1.07 |       1.17 |       1.26 |       1.13 |       1.18 |       1.28 |       0.90 |       1.08 |       1.17 |       1.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13017 |      13020 |      13020 |      13020 |      13012 |      13015 |      13020 |      13015 |      13015 |      13015 |      13015 |      13020 |      13012 |      13012 |      13018 |      13012
    num cache misses                 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         15 |         16 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.19 |       0.12 |       0.11 |       0.21 |       0.11 |       0.13 |       0.12 |       0.12 |       0.12 |       0.11 |       0.13 |       0.12 |       0.15 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      52505 |      75070 |      80620 |      47602 |      78915 |      69155 |      74011 |      77600 |      76177 |      80065 |      71729 |      74143 |      58991 |      78119 |      83045 |      79550
    num cache misses                 |       2745 |       4994 |       5354 |       2082 |       5638 |       4503 |       5115 |       5219 |       5778 |       5595 |       5178 |       5251 |       3654 |       5349 |       5545 |       5463
    miss rate                        |      5.23% |      6.65% |      6.64% |      4.37% |      7.14% |      6.51% |      6.91% |      6.73% |      7.58% |      6.99% |      7.22% |      7.08% |      6.19% |      6.85% |      6.68% |      6.87%
    mpki                             |      31.94 |      38.09 |      37.66 |      27.35 |      40.62 |      37.77 |      39.67 |      38.33 |      43.36 |      39.67 |      41.62 |      40.64 |      36.94 |      39.00 |      37.72 |      39.02
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
