                                     | Core 0     | Core 1    
  Instructions                       |     598745 |     251059
  Cycles                             |     596676 |     596676
  IPC                                |       1.00 |       0.42
  Time (ns)                          |     224315 |     224315
  Idle time (ns)                     |      13429 |      58241
  Idle time (%)                      |       6.0% |      26.0%
Branch predictor stats               |            |           
  num correct                        |      95920 |      26393
  num incorrect                      |        234 |        210
  misprediction rate                 |      0.24% |      0.79%
  mpki                               |       0.39 |       0.84
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      31016 |      31029
    num cache misses                 |         14 |         16
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.02 |       0.06
  Cache L1-D                         |            |           
    num cache accesses               |     373473 |     164825
    num cache misses                 |       2235 |       2484
    miss rate                        |      0.60% |      1.51%
    mpki                             |       3.73 |       9.89
  Cache L2                           |            |           
    num cache accesses               |       2500 |       2503
    num cache misses                 |       2249 |       2500
    miss rate                        |     89.96% |     99.88%
    mpki                             |       3.76 |       9.96
  Cache L3                           |            |           
    num cache accesses               |       2500 |       2503
    num cache misses                 |          9 |         22
    miss rate                        |      0.36% |      0.88%
    mpki                             |       0.02 |       0.09
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      95.86 |        inf
  average dram queueing delay        |      42.43 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
