                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    6165275 |    6525823 |    6619583 |    6974694
  Cycles                             |   14186632 |   14186632 |   14186632 |   14186632
  IPC                                |       0.43 |       0.46 |       0.47 |       0.49
  Time (ns)                          |    5333321 |    5333321 |    5333321 |    5333321
  Idle time (ns)                     |      37309 |     241057 |     217230 |     118667
  Idle time (%)                      |       0.7% |       4.5% |       4.1% |       2.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    1065218 |    1137348 |    1156062 |    1227100
  num incorrect                      |        242 |        225 |        263 |        247
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.03 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     211016 |     211020 |     211020 |     211020
    num cache misses                 |         14 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3821391 |    4037727 |    4093983 |    4307049
    num cache misses                 |     116173 |     105378 |     105807 |     106967
    miss rate                        |      3.04% |      2.61% |      2.58% |      2.48%
    mpki                             |      18.84 |      16.15 |      15.98 |      15.34
  Cache L2                           |            |            |            |           
    num cache accesses               |     116198 |     105412 |     105849 |     107014
    num cache misses                 |     116187 |     105394 |     105823 |     106983
    miss rate                        |     99.99% |     99.98% |     99.98% |     99.97%
    mpki                             |      18.85 |      16.15 |      15.99 |      15.34
  Cache L3                           |            |            |            |           
    num cache accesses               |     116198 |     105412 |     105849 |     107014
    num cache misses                 |         17 |         12 |         11 |         11
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     116.61 |        inf |        inf |        inf
  average dram queueing delay        |      63.18 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          5 |          5 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
