                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    4993921 |    6524778 |    5831420 |    5242870 |    5342484 |    5128393 |    5498983 |    6484414
  Cycles                             |   29291017 |   29291017 |   29291017 |   29291017 |   29291017 |   29291017 |   29291017 |   29291017
  IPC                                |       0.17 |       0.22 |       0.20 |       0.18 |       0.18 |       0.18 |       0.19 |       0.22
  Time (ns)                          |   11011661 |   11011661 |   11011661 |   11011661 |   11011661 |   11011661 |   11011661 |   11011661
  Idle time (ns)                     |    1451292 |     249377 |     463034 |    1088902 |     631294 |    1203636 |     594815 |      83119
  Idle time (%)                      |      13.2% |       2.3% |       4.2% |       9.9% |       5.7% |      10.9% |       5.4% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     830955 |    1137107 |     998445 |     880737 |     900652 |     857857 |     931969 |    1129068
  num incorrect                      |        235 |        256 |        247 |        246 |        252 |        229 |        235 |        223
  misprediction rate                 |      0.03% |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02%
  mpki                               |       0.05 |       0.04 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211018 |     211021 |     211021 |     211016 |     211021 |     211021 |     211021 |     211020
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3118580 |    4037098 |    3621085 |    3267963 |    3327721 |    3199267 |    3421621 |    4012877
    num cache misses                 |     231433 |     239512 |     235398 |     218687 |     255071 |     219219 |     233283 |     241837
    miss rate                        |      7.42% |      5.93% |      6.50% |      6.69% |      7.67% |      6.85% |      6.82% |      6.03%
    mpki                             |      46.34 |      36.71 |      40.37 |      41.71 |      47.74 |      42.75 |      42.42 |      37.30
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     231475 |     239568 |     235459 |     218733 |     255126 |     219278 |     233330 |     241884
    num cache misses                 |     231449 |     239528 |     235414 |     218703 |     255087 |     219235 |     233299 |     241853
    miss rate                        |     99.99% |     99.98% |     99.98% |     99.99% |     99.98% |     99.98% |     99.99% |     99.99%
    mpki                             |      46.35 |      36.71 |      40.37 |      41.71 |      47.75 |      42.75 |      42.43 |      37.30
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     231475 |     239568 |     235459 |     218733 |     255126 |     219278 |     233330 |     241884
    num cache misses                 |      69042 |      83261 |      82247 |      75732 |      75088 |      71680 |      78142 |      84128
    miss rate                        |     29.83% |     34.75% |     34.93% |     34.62% |     29.43% |     32.69% |     33.49% |     34.78%
    mpki                             |      13.83 |      12.76 |      14.10 |      14.44 |      14.05 |      13.98 |      14.21 |      12.97
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     155.11 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     101.68 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          5 |          3 |          4 |          6 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      33344 |      39546 |      40578 |      39234 |      35447 |      35992 |      39140 |      41607
