                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   13001761 |   12115193 |   12660794 |   13199132 |   10683654 |   12429637 |   13787197 |   15145357 |   10413860 |   14889948 |   15370317 |   13608590 |   13934277 |   13328948 |   12483829 |   12887245
  Cycles                             |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416 |   57339416
  IPC                                |       0.23 |       0.21 |       0.22 |       0.23 |       0.19 |       0.22 |       0.24 |       0.26 |       0.18 |       0.26 |       0.27 |       0.24 |       0.24 |       0.23 |       0.22 |       0.22
  Time (ns)                          |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172 |   21556172
  Idle time (ns)                     |    1420541 |    3045251 |    2003502 |    1650721 |    4602604 |    2863613 |    1368000 |     632977 |    4912395 |     168102 |      71785 |    1325917 |     317573 |    1188896 |    2130827 |    1901033
  Idle time (%)                      |       6.6% |      14.1% |       9.3% |       7.7% |      21.4% |      13.3% |       6.3% |       2.9% |      22.8% |       0.8% |       0.3% |       6.2% |       1.5% |       5.5% |       9.9% |       8.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2432540 |    2255256 |    2364343 |    2472032 |    1968930 |    2318125 |    2589605 |    2861222 |    1914934 |    2810188 |    2906259 |    2553917 |    2619032 |    2497993 |    2328970 |    2409646
  num incorrect                      |        218 |        197 |        230 |        203 |        215 |        211 |        243 |        258 |        245 |        216 |        218 |        208 |        232 |        205 |        210 |        210
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     211018 |     211011 |     211011 |     211016 |     211011 |     211016 |     211016 |     211016 |     211021 |     211011 |     211010 |     211021 |     211016 |     211017 |     211011 |     211021
    num cache misses                 |         16 |         15 |         15 |         16 |         15 |         16 |         16 |         16 |         16 |         15 |         14 |         16 |         16 |         16 |         15 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7923284 |    7391362 |    7718724 |    8041720 |    6532440 |    7580023 |    8394559 |    9209455 |    6370546 |    9056215 |    9344434 |    8287384 |    8482807 |    8119601 |    7612545 |    7854577
    num cache misses                 |     520241 |     435420 |     459816 |     467041 |     397662 |     409701 |     443404 |     458092 |     390207 |     470264 |     469137 |     443020 |     504930 |     449677 |     424743 |     428840
    miss rate                        |      6.57% |      5.89% |      5.96% |      5.81% |      6.09% |      5.41% |      5.28% |      4.97% |      6.13% |      5.19% |      5.02% |      5.35% |      5.95% |      5.54% |      5.58% |      5.46%
    mpki                             |      40.01 |      35.94 |      36.32 |      35.38 |      37.22 |      32.96 |      32.16 |      30.25 |      37.47 |      31.58 |      30.52 |      32.55 |      36.24 |      33.74 |      34.02 |      33.28
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     520297 |     435472 |     459873 |     467093 |     397717 |     409754 |     443468 |     458155 |     390273 |     470315 |     469193 |     443074 |     504989 |     449734 |     424798 |     428898
    num cache misses                 |     520257 |     435435 |     459831 |     467057 |     397677 |     409717 |     443420 |     458108 |     390223 |     470279 |     469151 |     443036 |     504946 |     449693 |     424758 |     428858
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |      40.01 |      35.94 |      36.32 |      35.39 |      37.22 |      32.96 |      32.16 |      30.25 |      37.47 |      31.58 |      30.52 |      32.56 |      36.24 |      33.74 |      34.02 |      33.28
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     520297 |     435472 |     459873 |     467093 |     397717 |     409754 |     443468 |     458155 |     390273 |     470315 |     469193 |     443074 |     504989 |     449734 |     424798 |     428898
    num cache misses                 |     218315 |     205647 |     220831 |     227143 |     163457 |     196571 |     220648 |     237942 |     160756 |     227349 |     231874 |     220728 |     217932 |     212991 |     203116 |     207033
    miss rate                        |     41.96% |     47.22% |     48.02% |     48.63% |     41.10% |     47.97% |     49.76% |     51.93% |     41.19% |     48.34% |     49.42% |     49.82% |     43.16% |     47.36% |     47.81% |     48.27%
    mpki                             |      16.79 |      16.97 |      17.44 |      17.21 |      15.30 |      15.81 |      16.00 |      15.71 |      15.44 |      15.27 |      15.09 |      16.22 |      15.64 |      15.98 |      16.27 |      16.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        126 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     223.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     169.63 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          7 |          5 |          5 |          6 |          7 |          6 |          5 |          3 |          7 |          6 |          6 |          6 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      91759 |      94849 |     101358 |     105176 |      72141 |      88348 |      95745 |      99266 |      70487 |      98434 |      99801 |      99736 |      87856 |      94732 |      93756 |      96775
