                                     | Core 0     | Core 1    
  Instructions                       |     532082 |     468951
  Cycles                             |     564241 |     564241
  IPC                                |       0.94 |       0.83
  Time (ns)                          |     212121 |     212121
  Idle time (ns)                     |       1981 |      13819
  Idle time (%)                      |       0.9% |       6.5%
Branch predictor stats               |            |           
  num correct                        |      99553 |      83723
  num incorrect                      |        216 |        248
  misprediction rate                 |      0.22% |      0.30%
  mpki                               |       0.41 |       0.53
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      32018 |      32030
    num cache misses                 |         16 |         18
    miss rate                        |      0.05% |      0.06%
    mpki                             |       0.03 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     297563 |     265974
    num cache misses                 |       1431 |       1473
    miss rate                        |      0.48% |      0.55%
    mpki                             |       2.69 |       3.14
  Cache L2                           |            |           
    num cache accesses               |       2176 |       2176
    num cache misses                 |       1447 |       1491
    miss rate                        |     66.50% |     68.52%
    mpki                             |       2.72 |       3.18
  Cache L3                           |            |           
    num cache accesses               |       2176 |       2176
    num cache misses                 |         25 |          7
    miss rate                        |      1.15% |      0.32%
    mpki                             |       0.05 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         32 |          0
  average dram access latency (ns)   |     112.70 |        inf
  average dram queueing delay        |      59.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
