                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     160446 |     143824 |     154268 |     133343
  Cycles                             |     312171 |     312171 |     312171 |     312171
  IPC                                |       0.51 |       0.46 |       0.49 |       0.43
  Time (ns)                          |     117358 |     117358 |     117358 |     117358
  Idle time (ns)                     |      37340 |      50622 |      39853 |      55843
  Idle time (%)                      |      31.8% |      43.1% |      34.0% |      47.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      26954 |      22773 |      25402 |      20209
  num incorrect                      |        159 |        178 |        158 |        130
  misprediction rate                 |      0.59% |      0.78% |      0.62% |      0.64%
  mpki                               |       0.99 |       1.24 |       1.02 |       0.97
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      14016 |      14022 |      14022 |      14022
    num cache misses                 |         14 |         17 |         17 |         17
    miss rate                        |      0.10% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.09 |       0.12 |       0.11 |       0.13
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      89252 |      80926 |      86146 |      75703
    num cache misses                 |       2002 |       1570 |       1910 |       1516
    miss rate                        |      2.24% |      1.94% |      2.22% |      2.00%
    mpki                             |      12.48 |      10.92 |      12.38 |      11.37
  Cache L2                           |            |            |            |           
    num cache accesses               |       2333 |       2017 |       2377 |       2152
    num cache misses                 |       2016 |       1588 |       1927 |       1533
    miss rate                        |     86.41% |     78.73% |     81.07% |     71.24%
    mpki                             |      12.56 |      11.04 |      12.49 |      11.50
  Cache L3                           |            |            |            |           
    num cache accesses               |       2333 |       2017 |       2377 |       2152
    num cache misses                 |         11 |          8 |          5 |         15
    miss rate                        |      0.47% |      0.40% |      0.21% |      0.70%
    mpki                             |       0.07 |       0.06 |       0.03 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |         37 |          0 |          0 |          0
  average dram access latency (ns)   |     125.21 |        inf |        inf |        inf
  average dram queueing delay        |      71.78 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          4 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
