                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     282021 |     237058 |     288854 |     286995 |     266852 |     300591 |     222010 |     301550
  Cycles                             |     559881 |     559881 |     559881 |     559881 |     559881 |     559881 |     559881 |     559881
  IPC                                |       0.50 |       0.42 |       0.52 |       0.51 |       0.48 |       0.54 |       0.40 |       0.54
  Time (ns)                          |     210482 |     210482 |     210482 |     210482 |     210482 |     210482 |     210482 |     210482
  Idle time (ns)                     |      89251 |     113226 |      83163 |      86347 |      95199 |      87675 |     117366 |      83562
  Idle time (%)                      |      42.4% |      53.8% |      39.5% |      41.0% |      45.2% |      41.7% |      55.8% |      39.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      57270 |      46113 |      59005 |      58501 |      53529 |      61938 |      42325 |      62154
  num incorrect                      |        235 |        156 |        211 |        253 |        192 |        219 |        187 |        236
  misprediction rate                 |      0.41% |      0.34% |      0.36% |      0.43% |      0.36% |      0.35% |      0.44% |      0.38%
  mpki                               |       0.83 |       0.66 |       0.73 |       0.88 |       0.72 |       0.73 |       0.84 |       0.78
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      14018 |      14017 |      14015 |      14017 |      14013 |      14014 |      14014 |      14014
    num cache misses                 |         16 |         17 |         16 |         17 |         16 |         16 |         16 |         16
    miss rate                        |      0.11% |      0.12% |      0.11% |      0.12% |      0.11% |      0.11% |      0.11% |      0.11%
    mpki                             |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.05 |       0.07 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     150037 |     127567 |     153463 |     152536 |     142460 |     159335 |     120043 |     159806
    num cache misses                 |       2908 |       2264 |       2859 |       2930 |       2784 |       2848 |       2314 |       2815
    miss rate                        |      1.94% |      1.77% |      1.86% |      1.92% |      1.95% |      1.79% |      1.93% |      1.76%
    mpki                             |      10.31 |       9.55 |       9.90 |      10.21 |      10.43 |       9.47 |      10.42 |       9.34
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3528 |       2866 |       3424 |       3502 |       3413 |       3350 |       2939 |       3373
    num cache misses                 |       2924 |       2285 |       2877 |       2950 |       2802 |       2871 |       2337 |       2834
    miss rate                        |     82.88% |     79.73% |     84.02% |     84.24% |     82.10% |     85.70% |     79.52% |     84.02%
    mpki                             |      10.37 |       9.64 |       9.96 |      10.28 |      10.50 |       9.55 |      10.53 |       9.40
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3528 |       2866 |       3424 |       3502 |       3413 |       3350 |       2939 |       3373
    num cache misses                 |       1501 |       1205 |       1594 |       1577 |       1412 |       1481 |       1188 |       1561
    miss rate                        |     42.55% |     42.04% |     46.55% |     45.03% |     41.37% |     44.21% |     40.42% |     46.28%
    mpki                             |       5.32 |       5.08 |       5.52 |       5.49 |       5.29 |       4.93 |       5.35 |       5.18
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     168.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     114.63 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          8 |          7 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        893 |        726 |        956 |        927 |        834 |        899 |        689 |        916
