                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   94507517 |   94864303 |   81443504 |   83025243 |   86264756 |   94219340 |   95308026 |   87079447 |   95252828 |   78123448 |   90311663 |   81273624 |   95501357 |   93470899 |   91371132 |   82512853
  Cycles                             |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180 |   53436180
  IPC                                |       1.77 |       1.78 |       1.52 |       1.55 |       1.61 |       1.76 |       1.78 |       1.63 |       1.78 |       1.46 |       1.69 |       1.52 |       1.79 |       1.75 |       1.71 |       1.54
  Time (ns)                          |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790 |   20088790
  Idle time (ns)                     |     510814 |     446206 |    3081082 |    2765138 |    1953037 |     369041 |     162607 |    1804139 |     125936 |    3551226 |    1115926 |    2922856 |      71823 |     458998 |     873205 |    2640898
  Idle time (%)                      |       2.5% |       2.2% |      15.3% |      13.8% |       9.7% |       1.8% |       0.8% |       9.0% |       0.6% |      17.7% |       5.6% |      14.5% |       0.4% |       2.3% |       4.3% |      13.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   23390338 |   23479502 |   20124386 |   20519881 |   21329743 |   23318353 |   23590471 |   21533390 |   23576702 |   19294481 |   22341426 |   20081921 |   23638852 |   23131211 |   22606269 |   20391687
  num incorrect                      |        772 |        811 |        731 |        672 |        686 |        729 |        771 |        720 |        743 |        633 |        733 |        726 |        729 |        751 |        758 |        761
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     212018 |     212015 |     212012 |     212015 |     212012 |     212013 |     212013 |     212013 |     212014 |     212014 |     212015 |     212012 |     212010 |     212022 |     212012 |     212017
    num cache misses                 |         16 |         17 |         16 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         17 |         16 |         15 |         17 |         16 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   47510267 |   47688667 |   40978271 |   41769142 |   43388896 |   47366193 |   47910527 |   43796248 |   47882932 |   39318256 |   45412353 |   40893331 |   48007199 |   46991965 |   45942088 |   41512944
    num cache misses                 |      21404 |      21530 |      18401 |      18787 |      19721 |      21577 |      21726 |      19864 |      21826 |      17857 |      20658 |      18578 |      21830 |      21406 |      20974 |      18873
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
