                                     | Core 0     | Core 1    
  Instructions                       |    7162423 |    7773727
  Cycles                             |    6885190 |    6885190
  IPC                                |       1.04 |       1.13
  Time (ns)                          |    2588418 |    2588418
  Idle time (ns)                     |     126504 |      13498
  Idle time (%)                      |       4.9% |       0.5%
Branch predictor stats               |            |           
  num correct                        |    1554841 |    1707647
  num incorrect                      |        258 |        275
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     210018 |     210019
    num cache misses                 |         15 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    3838236 |    4143887
    num cache misses                 |       1559 |       1677
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22
  Cache L2                           |            |           
    num cache accesses               |       2572 |       2574
    num cache misses                 |       1574 |       1693
    miss rate                        |     61.20% |     65.77%
    mpki                             |       0.22 |       0.22
  Cache L3                           |            |           
    num cache accesses               |       2572 |       2574
    num cache misses                 |         14 |         21
    miss rate                        |      0.54% |      0.82%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      96.68 |        inf
  average dram queueing delay        |      43.25 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
