                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   20997211 |   19178966 |   20818881 |   20318610
  Cycles                             |   13932626 |   13932626 |   13932626 |   13932626
  IPC                                |       1.51 |       1.38 |       1.49 |       1.46
  Time (ns)                          |    5237830 |    5237830 |    5237830 |    5237830
  Idle time (ns)                     |      37376 |     391565 |      71262 |     170263
  Idle time (%)                      |       0.7% |       7.5% |       1.4% |       3.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    5013353 |    4558833 |    4968792 |    4843745
  num incorrect                      |        445 |        417 |        420 |        399
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     210016 |     210014 |     210026 |     210024
    num cache misses                 |         13 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10755631 |    9846522 |   10666463 |   10416325
    num cache misses                 |       5786 |       5363 |       5752 |       5506
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.28 |       0.28 |       0.28 |       0.27
  Cache L2                           |            |            |            |           
    num cache accesses               |       7018 |       6351 |       6746 |       6548
    num cache misses                 |       5799 |       5379 |       5768 |       5522
    miss rate                        |     82.63% |     84.70% |     85.50% |     84.33%
    mpki                             |       0.28 |       0.28 |       0.28 |       0.27
  Cache L3                           |            |            |            |           
    num cache accesses               |       7018 |       6351 |       6746 |       6548
    num cache misses                 |          4 |          5 |         15 |         13
    miss rate                        |      0.06% |      0.08% |      0.22% |      0.20%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      85.56 |        inf |        inf |        inf
  average dram queueing delay        |      32.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          2 |          6 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
