                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   35393703 |   39978985 |   39810246 |   45986498 |   41522760 |   44795334 |   45778944 |   36894634
  Cycles                             |   26962775 |   26962775 |   26962775 |   26962775 |   26962775 |   26962775 |   26962775 |   26962775
  IPC                                |       1.31 |       1.48 |       1.48 |       1.71 |       1.54 |       1.66 |       1.70 |       1.37
  Time (ns)                          |   10136382 |   10136382 |   10136382 |   10136382 |   10136382 |   10136382 |   10136382 |   10136382
  Idle time (ns)                     |    2157418 |    1251980 |    1282886 |      83080 |     950118 |     306701 |     114400 |    1853113
  Idle time (%)                      |      21.3% |      12.4% |      12.7% |       0.8% |       9.4% |       3.0% |       1.1% |      18.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    8612342 |    9758613 |    9716420 |   11260415 |   10144529 |   10962749 |   11208583 |    8987560
  num incorrect                      |        577 |        632 |        632 |        699 |        657 |        582 |        649 |        591
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     210018 |     210016 |     210021 |     210019 |     210016 |     210016 |     210016 |     210021
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   17953876 |   20246529 |   20162147 |   23250273 |   21018414 |   22654702 |   23146506 |   18704343
    num cache misses                 |       8151 |       9193 |       9193 |      10307 |       9631 |      10286 |      10445 |       8565
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.22 |       0.23 |       0.23 |       0.23 |       0.23
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9187 |      10136 |      10156 |      11216 |      10687 |      11257 |      11419 |       9559
    num cache misses                 |       8167 |       9208 |       9208 |      10322 |       9646 |      10301 |      10460 |       8580
    miss rate                        |     88.90% |     90.84% |     90.67% |     92.03% |     90.26% |     91.51% |     91.60% |     89.76%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.22 |       0.23 |       0.23 |       0.23 |       0.23
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9187 |      10136 |      10156 |      11216 |      10687 |      11257 |      11419 |       9559
    num cache misses                 |       4661 |       5363 |       5359 |       6343 |       5535 |       5902 |       6115 |       4905
    miss rate                        |     50.73% |     52.91% |     52.77% |     56.55% |     51.79% |     52.43% |     53.55% |     51.31%
    mpki                             |       0.13 |       0.13 |       0.13 |       0.14 |       0.13 |       0.13 |       0.13 |       0.13
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     153.63 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     100.20 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          5 |          4 |          4 |          4 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2983 |       3251 |       3320 |       3992 |       3451 |       3622 |       3704 |       3020
