                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    5363759 |    5142386 |    5374703 |    4356806 |    4991050 |    4312376 |    4809059 |    4417410 |    4331787 |    4356794 |    4121310 |    4975096 |    4964948 |    5036128 |    4709657 |    4909187
  Cycles                             |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316 |    4849316
  IPC                                |       1.11 |       1.06 |       1.11 |       0.90 |       1.03 |       0.89 |       0.99 |       0.91 |       0.89 |       0.90 |       0.85 |       1.03 |       1.02 |       1.04 |       0.97 |       1.01
  Time (ns)                          |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051 |    1823051
  Idle time (ns)                     |     201930 |     282371 |     208937 |     507323 |     130342 |     348420 |     177036 |     309810 |     326998 |     317059 |     396782 |      81993 |      83170 |      71745 |     172168 |      99423
  Idle time (%)                      |      11.1% |      15.5% |      11.5% |      27.8% |       7.1% |      19.1% |       9.7% |      17.0% |      17.9% |      17.4% |      21.8% |       4.5% |       4.6% |       3.9% |       9.4% |       5.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1307367 |    1252032 |    1310071 |    1055729 |    1214351 |    1044678 |    1168754 |    1070950 |    1049488 |    1055835 |     996829 |    1210343 |    1207776 |    1225584 |    1143974 |    1193809
  num incorrect                      |        566 |        546 |        592 |        461 |        407 |        422 |        507 |        398 |        449 |        369 |        488 |        441 |        448 |        456 |        431 |        483
  misprediction rate                 |      0.04% |      0.04% |      0.05% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.11 |       0.08 |       0.10 |       0.11 |       0.09 |       0.10 |       0.08 |       0.12 |       0.09 |       0.09 |       0.09 |       0.09 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30020 |      30031 |      30022 |      30026 |      30023 |      30012 |      30022 |      30022 |      30026 |      30013 |      30023 |      30013 |      30024 |      30010 |      30026 |      30026
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         15 |         16 |         15 |         16 |         14 |         16 |         16
