                                     | Core 0     | Core 1    
  Instructions                       |    1405442 |    1405298
  Cycles                             |   12731467 |   12731467
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4786266 |    4786266
  Idle time (ns)                     |    3411707 |    3411771
  Idle time (%)                      |      71.3% |      71.3%
Branch predictor stats               |            |           
  num correct                        |     110481 |     110487
  num incorrect                      |        842 |        840
  misprediction rate                 |      0.76% |      0.75%
  mpki                               |       0.60 |       0.60
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19978 |      19948
    num cache misses                 |         24 |         23
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     951950 |     951871
    num cache misses                 |       2399 |       2086
    miss rate                        |      0.25% |      0.22%
    mpki                             |       1.71 |       1.48
  Cache L2                           |            |           
    num cache accesses               |       2799 |       2801
    num cache misses                 |         24 |         24
    miss rate                        |      0.86% |      0.86%
    mpki                             |       0.02 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         25 |         28
    num cache misses                 |         24 |         24
    miss rate                        |     96.00% |     85.71%
    mpki                             |       0.02 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         44 |          0
  average dram access latency (ns)   |     111.23 |        inf
  average dram queueing delay        |      57.80 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
