                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97228 |      97043 |      97839 |      97740
  Cycles                             |     782444 |     782444 |     782444 |     782444
  IPC                                |       0.12 |       0.12 |       0.13 |       0.12
  Time (ns)                          |     294152 |     294152 |     294152 |     294152
  Idle time (ns)                     |     269546 |     270047 |     268739 |     268804
  Idle time (%)                      |      91.6% |      91.8% |      91.4% |      91.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      10840 |      10824 |      10816 |      10841
  num incorrect                      |        419 |        409 |        461 |        457
  misprediction rate                 |      3.72% |      3.64% |      4.09% |      4.04%
  mpki                               |       4.31 |       4.21 |       4.71 |       4.68
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17535 |      17528 |      17627 |      17613
    num cache misses                 |         24 |         25 |         23 |         25
    miss rate                        |      0.14% |      0.14% |      0.13% |      0.14%
    mpki                             |       0.25 |       0.26 |       0.24 |       0.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      51864 |      51805 |      52160 |      52096
    num cache misses                 |       1455 |       1460 |       1519 |       1577
    miss rate                        |      2.81% |      2.82% |      2.91% |      3.03%
    mpki                             |      14.96 |      15.04 |      15.53 |      16.13
  Cache L2                           |            |            |            |           
    num cache accesses               |       1976 |       1934 |       2079 |       2028
    num cache misses                 |         22 |         16 |         16 |         27
    miss rate                        |      1.11% |      0.83% |      0.77% |      1.33%
    mpki                             |       0.23 |       0.16 |       0.16 |       0.28
  Cache L3                           |            |            |            |           
    num cache accesses               |         23 |         19 |         19 |         31
    num cache misses                 |         22 |         16 |         16 |         27
    miss rate                        |     95.65% |     84.21% |     84.21% |     87.10%
    mpki                             |       0.23 |       0.16 |       0.16 |       0.28
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     161.68 |        inf |        inf |        inf
  average dram queueing delay        |     108.25 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          4 |          6 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
