                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1405555 |    1405728 |    1406542 |    1405224 |    1405708 |    1405453 |    1405889 |    1405387
  Cycles                             |   51044701 |   51044701 |   51044701 |   51044701 |   51044701 |   51044701 |   51044701 |   51044701
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19189737 |   19189737 |   19189737 |   19189737 |   19189737 |   19189737 |   19189737 |   19189737
  Idle time (ns)                     |   17776400 |   17776395 |   17772291 |   17777414 |   17777542 |   17778290 |   17776491 |   17776000
  Idle time (%)                      |      92.6% |      92.6% |      92.6% |      92.6% |      92.6% |      92.6% |      92.6% |      92.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110422 |     110422 |     110460 |     110410 |     110503 |     110431 |     110395 |     110341
  num incorrect                      |        902 |        925 |        975 |        873 |        908 |        887 |        967 |        958
  misprediction rate                 |      0.81% |      0.83% |      0.87% |      0.78% |      0.82% |      0.80% |      0.87% |      0.86%
  mpki                               |       0.64 |       0.66 |       0.69 |       0.62 |       0.65 |       0.63 |       0.69 |       0.68
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      20025 |      20035 |      20098 |      20011 |      19957 |      20000 |      20060 |      20028
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         24 |         25
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     952011 |     952070 |     952331 |     951910 |     951959 |     951970 |     952131 |     951973
    num cache misses                 |       3171 |       3200 |       3323 |       3103 |       3202 |       3127 |       3193 |       3126
    miss rate                        |      0.33% |      0.34% |      0.35% |      0.33% |      0.34% |      0.33% |      0.34% |      0.33%
    mpki                             |       2.26 |       2.28 |       2.36 |       2.21 |       2.28 |       2.22 |       2.27 |       2.22
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3847 |       3935 |       4093 |       3819 |       3914 |       3851 |       3929 |       3848
    num cache misses                 |       2141 |       2200 |       2277 |       2080 |       2208 |       2096 |       2137 |       2120
    miss rate                        |     55.65% |     55.91% |     55.63% |     54.46% |     56.41% |     54.43% |     54.39% |     55.09%
    mpki                             |       1.52 |       1.57 |       1.62 |       1.48 |       1.57 |       1.49 |       1.52 |       1.51
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2602 |       2745 |       2821 |       2584 |       2735 |       2622 |       2659 |       2621
    num cache misses                 |       2140 |       2200 |       2277 |       2080 |       2208 |       2096 |       2137 |       2120
    miss rate                        |     82.24% |     80.15% |     80.72% |     80.50% |     80.73% |     79.94% |     80.37% |     80.89%
    mpki                             |       1.52 |       1.57 |       1.62 |       1.48 |       1.57 |       1.49 |       1.52 |       1.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     149.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      95.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          7 |          5 |          4 |          6 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        987 |       1039 |       1060 |        975 |       1005 |        966 |       1002 |        993
