                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     231619 |     230559 |     231606 |     232200 |     232280 |     230201 |     232042 |     230623 |     229156 |     232127 |     230084 |     232518 |     231412 |     231552 |     230465 |     232677
  Cycles                             |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638 |   12170638
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428 |    4575428
  Idle time (ns)                     |    4375090 |    4379962 |    4377627 |    4371748 |    4357712 |    4363656 |    4356465 |    4364489 |    4366692 |    4355329 |    4364632 |    4354495 |    4357979 |    4361001 |    4364083 |    4354945
  Idle time (%)                      |      95.6% |      95.7% |      95.7% |      95.5% |      95.2% |      95.4% |      95.2% |      95.4% |      95.4% |      95.2% |      95.4% |      95.2% |      95.2% |      95.3% |      95.4% |      95.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20128 |      20097 |      20093 |      20140 |      20190 |      20051 |      20196 |      20107 |      20028 |      20196 |      20007 |      20233 |      20118 |      20125 |      20117 |      20180
  num incorrect                      |       1277 |       1220 |       1280 |       1304 |       1217 |       1202 |       1244 |       1193 |       1188 |       1254 |       1224 |       1235 |       1260 |       1262 |       1135 |       1279
  misprediction rate                 |      5.97% |      5.72% |      5.99% |      6.08% |      5.69% |      5.66% |      5.80% |      5.60% |      5.60% |      5.85% |      5.77% |      5.75% |      5.89% |      5.90% |      5.34% |      5.96%
  mpki                               |       5.51 |       5.29 |       5.53 |       5.62 |       5.24 |       5.22 |       5.36 |       5.17 |       5.18 |       5.40 |       5.32 |       5.31 |       5.44 |       5.45 |       4.92 |       5.50
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19488 |      19351 |      19504 |      19554 |      19608 |      19378 |      19528 |      19394 |      19200 |      19552 |      19378 |      19594 |      19474 |      19510 |      19430 |      19630
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         26 |         24 |         24 |         25 |         26 |         26 |         25 |         26 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     139984 |     139553 |     140000 |     140225 |     140321 |     139482 |     140157 |     139595 |     139008 |     140201 |     139457 |     140358 |     139915 |     139983 |     139613 |     140443
    num cache misses                 |       4709 |       4456 |       4579 |       4732 |       4564 |       4203 |       4614 |       4154 |       3889 |       4489 |       4110 |       4436 |       4378 |       4342 |       4166 |       4495
    miss rate                        |      3.36% |      3.19% |      3.27% |      3.37% |      3.25% |      3.01% |      3.29% |      2.98% |      2.80% |      3.20% |      2.95% |      3.16% |      3.13% |      3.10% |      2.98% |      3.20%
