                                     | Core 0     | Core 1    
  Instructions                       |      88957 |      67079
  Cycles                             |      90741 |      90741
  IPC                                |       0.98 |       0.74
  Time (ns)                          |      34114 |      34114
  Idle time (ns)                     |      13478 |      22580
  Idle time (%)                      |      39.5% |      66.2%
Branch predictor stats               |            |           
  num correct                        |       7634 |       4004
  num incorrect                      |         32 |         13
  misprediction rate                 |      0.42% |      0.32%
  mpki                               |       0.36 |       0.19
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13015 |      13026
    num cache misses                 |         14 |         16
    miss rate                        |      0.11% |      0.12%
    mpki                             |       0.16 |       0.24
  Cache L1-D                         |            |           
    num cache accesses               |      54009 |      43063
    num cache misses                 |        167 |        138
    miss rate                        |      0.31% |      0.32%
    mpki                             |       1.88 |       2.06
  Cache L2                           |            |           
    num cache accesses               |        182 |        185
    num cache misses                 |         10 |         20
    miss rate                        |      5.49% |     10.81%
    mpki                             |       0.11 |       0.30
  Cache L3                           |            |           
    num cache accesses               |         11 |         22
    num cache misses                 |         10 |         20
    miss rate                        |     90.91% |     90.91%
    mpki                             |       0.11 |       0.30
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      91.92 |        inf
  average dram queueing delay        |      38.49 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
