                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    8661117 |    7931808 |    8848029 |    7996490
  Cycles                             |   13724711 |   13724711 |   13724711 |   13724711
  IPC                                |       0.63 |       0.58 |       0.64 |       0.58
  Time (ns)                          |    5159666 |    5159666 |    5159666 |    5159666
  Idle time (ns)                     |     174262 |     496736 |      35355 |     443762
  Idle time (%)                      |       3.4% |       9.6% |       0.7% |       8.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    1320549 |    1199046 |    1351749 |    1209828
  num incorrect                      |        311 |        264 |        264 |        265
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     211017 |     211020 |     211016 |     211013
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4587590 |    4222939 |    4681051 |    4255287
    num cache misses                 |     511648 |     483459 |     548788 |     501255
    miss rate                        |     11.15% |     11.45% |     11.72% |     11.78%
    mpki                             |      59.07 |      60.95 |      62.02 |      62.68
  Cache L2                           |            |            |            |           
    num cache accesses               |     511702 |     483495 |     548829 |     501284
    num cache misses                 |         20 |          6 |         11 |          3
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         21 |          9 |         15 |          6
    num cache misses                 |         20 |          6 |         11 |          3
    miss rate                        |     95.24% |     66.67% |     73.33% |     50.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      76.96 |        inf |        inf |        inf
  average dram queueing delay        |      23.53 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          4 |          6 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
