                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   13948945 |   13185957 |   12242175 |   13618647 |    9321567 |   10345725 |   12414513 |   14126637
  Cycles                             |   27834667 |   27834667 |   27834667 |   27834667 |   27834667 |   27834667 |   27834667 |   27834667
  IPC                                |       0.50 |       0.47 |       0.44 |       0.49 |       0.33 |       0.37 |       0.45 |       0.51
  Time (ns)                          |   10464161 |   10464161 |   10464161 |   10464161 |   10464161 |   10464161 |   10464161 |   10464161
  Idle time (ns)                     |      83190 |     824768 |    1457222 |     610709 |    3138758 |    2635559 |    1293550 |     378114
  Idle time (%)                      |       0.8% |       7.9% |      13.9% |       5.8% |      30.0% |      25.2% |      12.4% |       3.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2201958 |    2074741 |    1917488 |    2146884 |    1430727 |    1601417 |    1946179 |    2231513
  num incorrect                      |        206 |        260 |        216 |        232 |        209 |        212 |        248 |        262
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211015 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020 |     211020
    num cache misses                 |         14 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    7231503 |    6850012 |    6378121 |    7066357 |    4917817 |    5429896 |    6464290 |    7320334
    num cache misses                 |     860842 |     759017 |     709207 |     788923 |     578647 |     561768 |     618210 |     645302
    miss rate                        |     11.90% |     11.08% |     11.12% |     11.16% |     11.77% |     10.35% |      9.56% |      8.82%
    mpki                             |      61.71 |      57.56 |      57.93 |      57.93 |      62.08 |      54.30 |      49.80 |      45.68
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     860889 |     759072 |     709261 |     788974 |     578693 |     561818 |     618267 |     645362
    num cache misses                 |     148204 |     134522 |     126151 |     135713 |     108194 |     115247 |     139477 |     151632
    miss rate                        |     17.22% |     17.72% |     17.79% |     17.20% |     18.70% |     20.51% |     22.56% |     23.50%
    mpki                             |      10.62 |      10.20 |      10.30 |       9.97 |      11.61 |      11.14 |      11.23 |      10.73
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     148233 |     134556 |     126189 |     135746 |     108221 |     115279 |     139512 |     151673
    num cache misses                 |     148204 |     134522 |     126151 |     135713 |     108194 |     115247 |     139477 |     151632
    miss rate                        |     99.98% |     99.97% |     99.97% |     99.98% |     99.98% |     99.97% |     99.97% |     99.97%
    mpki                             |      10.62 |      10.20 |      10.30 |       9.97 |      11.61 |      11.14 |      11.23 |      10.73
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     156.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     103.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          6 |          3 |          3 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         28 |         32 |         34 |         30 |         27 |         32 |         34 |         39
