                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   22292967 |   27533572 |   25392958 |   27042620 |   25497736 |   27532590 |   21466626 |   24462912 |   26953229 |   26365990 |   23309620 |   21640042 |   26258132 |   28703332 |   25731458 |   24270230
  Cycles                             |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416 |   55649416
  IPC                                |       0.40 |       0.49 |       0.46 |       0.49 |       0.46 |       0.49 |       0.39 |       0.44 |       0.48 |       0.47 |       0.42 |       0.39 |       0.47 |       0.52 |       0.46 |       0.44
  Time (ns)                          |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833 |   20920833
  Idle time (ns)                     |    2739886 |    1234458 |    2690309 |    1697126 |     790022 |     840385 |    4717532 |    2848931 |      71782 |    1526199 |    3598329 |    4772640 |     187505 |      94703 |    1798953 |    2923569
  Idle time (%)                      |      13.1% |       5.9% |      12.9% |       8.1% |       3.8% |       4.0% |      22.5% |      13.6% |       0.3% |       7.3% |      17.2% |      22.8% |       0.9% |       0.5% |       8.6% |      14.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3592654 |    4466030 |    4109335 |    4384243 |    4126769 |    4465898 |    3454958 |    3954303 |    4369317 |    4271514 |    3762130 |    3483875 |    4253518 |    4661031 |    4165763 |    3922193
  num incorrect                      |        181 |        245 |        171 |        203 |        200 |        212 |        158 |        194 |        232 |        164 |        153 |        145 |        180 |        204 |        156 |        188
  misprediction rate                 |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     211017 |     211011 |     211011 |     211015 |     211011 |     211013 |     211013 |     211013 |     211011 |     211011 |     211011 |     211011 |     211015 |     211011 |     211015 |     211015
    num cache misses                 |         16 |         15 |         15 |         16 |         15 |         16 |         16 |         16 |         15 |         15 |         15 |         15 |         16 |         15 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   11403515 |   14023830 |   12953523 |   13778352 |   13005912 |   14023336 |   10990354 |   12488497 |   13733656 |   13440039 |   11911854 |   11077065 |   13386108 |   14608710 |   13122771 |   12392157
    num cache misses                 |    1262117 |    1242672 |    1197402 |    1239445 |    1109809 |    1050605 |     892675 |     996825 |    1104247 |    1016773 |     943347 |     896764 |    1223848 |    1150111 |    1088453 |    1034033
    miss rate                        |     11.07% |      8.86% |      9.24% |      9.00% |      8.53% |      7.49% |      8.12% |      7.98% |      8.04% |      7.57% |      7.92% |      8.10% |      9.14% |      7.87% |      8.29% |      8.34%
    mpki                             |      56.62 |      45.13 |      47.15 |      45.83 |      43.53 |      38.16 |      41.58 |      40.75 |      40.97 |      38.56 |      40.47 |      41.44 |      46.61 |      40.07 |      42.30 |      42.60
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1262163 |    1242736 |    1197447 |    1239495 |    1109864 |    1050661 |     892720 |     996882 |    1104308 |    1016822 |     943390 |     896807 |    1223899 |    1150169 |    1088499 |    1034084
    num cache misses                 |     329311 |     333925 |     303184 |     323332 |     322500 |     309674 |     249511 |     277888 |     330341 |     298395 |     264639 |     246056 |     329900 |     316093 |     294476 |     275699
    miss rate                        |     26.09% |     26.87% |     25.32% |     26.09% |     29.06% |     29.47% |     27.95% |     27.88% |     29.91% |     29.35% |     28.05% |     27.44% |     26.95% |     27.48% |     27.05% |     26.66%
    mpki                             |      14.77 |      12.13 |      11.94 |      11.96 |      12.65 |      11.25 |      11.62 |      11.36 |      12.26 |      11.32 |      11.35 |      11.37 |      12.56 |      11.01 |      11.44 |      11.36
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     329340 |     333973 |     303213 |     323364 |     322539 |     309713 |     249539 |     277928 |     330387 |     298429 |     264667 |     246084 |     329934 |     316135 |     294505 |     275734
