                                     | Core 0     | Core 1    
  Instructions                       |     310496 |     399358
  Cycles                             |     381482 |     381482
  IPC                                |       0.81 |       1.05
  Time (ns)                          |     143415 |     143415
  Idle time (ns)                     |      27203 |      13468
  Idle time (%)                      |      19.0% |       9.4%
Branch predictor stats               |            |           
  num correct                        |      38178 |      55933
  num incorrect                      |        327 |        338
  misprediction rate                 |      0.85% |      0.60%
  mpki                               |       1.05 |       0.85
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      31018 |      31022
    num cache misses                 |         16 |         16
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.05 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     200525 |     253836
    num cache misses                 |       2256 |       2116
    miss rate                        |      1.13% |      0.83%
    mpki                             |       7.27 |       5.30
  Cache L2                           |            |           
    num cache accesses               |       2431 |       2433
    num cache misses                 |         15 |         16
    miss rate                        |      0.62% |      0.66%
    mpki                             |       0.05 |       0.04
  Cache L3                           |            |           
    num cache accesses               |         17 |         19
    num cache misses                 |         15 |         16
    miss rate                        |     88.24% |     84.21%
    mpki                             |       0.05 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      96.09 |        inf
  average dram queueing delay        |      42.66 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
