                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     487758 |     297305 |     249310 |     383976
  Cycles                             |     214009 |     214009 |     214009 |     214009
  IPC                                |       2.28 |       1.39 |       1.16 |       1.79
  Time (ns)                          |      80455 |      80455 |      80455 |      80455
  Idle time (ns)                     |       3005 |      29640 |      37917 |      15888
  Idle time (%)                      |       3.7% |      36.8% |      47.1% |      19.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      88244 |      50083 |      40517 |      67388
  num incorrect                      |        112 |        185 |        152 |        214
  misprediction rate                 |      0.13% |      0.37% |      0.37% |      0.32%
  mpki                               |       0.23 |       0.62 |       0.61 |       0.56
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      13016 |      13021 |      13021 |      13021
    num cache misses                 |         14 |         16 |         16 |         16
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.03 |       0.05 |       0.06 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     296079 |     181813 |     153016 |     233815
    num cache misses                 |      42267 |      29616 |      21365 |      37619
    miss rate                        |     14.28% |     16.29% |     13.96% |     16.09%
    mpki                             |      86.66 |      99.61 |      85.70 |      97.97
  Cache L2                           |            |            |            |           
    num cache accesses               |      42342 |      29720 |      21434 |      37733
    num cache misses                 |         19 |         11 |          4 |          6
    miss rate                        |      0.04% |      0.04% |      0.02% |      0.02%
    mpki                             |       0.04 |       0.04 |       0.02 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         21 |         14 |          7 |          9
    num cache misses                 |         19 |         11 |          4 |          6
    miss rate                        |     90.48% |     78.57% |     57.14% |     66.67%
    mpki                             |       0.04 |       0.04 |       0.02 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      76.60 |        inf |        inf |        inf
  average dram queueing delay        |      23.17 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
