                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     282066 |     253933 |     270507 |     253564 |     237800 |     236047 |     272165 |     242394
  Cycles                             |     630847 |     630847 |     630847 |     630847 |     630847 |     630847 |     630847 |     630847
  IPC                                |       0.45 |       0.40 |       0.43 |       0.40 |       0.38 |       0.37 |       0.43 |       0.38
  Time (ns)                          |     237161 |     237161 |     237161 |     237161 |     237161 |     237161 |     237161 |     237161
  Idle time (ns)                     |      90873 |      92777 |      83230 |      92112 |     112114 |      99193 |      85881 |      99631
  Idle time (%)                      |      38.3% |      39.1% |      35.1% |      38.8% |      47.3% |      41.8% |      36.2% |      42.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      47095 |      41482 |      44780 |      41374 |      38263 |      37822 |      45121 |      39127
  num incorrect                      |        124 |        113 |        135 |        153 |        111 |        199 |        126 |        166
  misprediction rate                 |      0.26% |      0.27% |      0.30% |      0.37% |      0.29% |      0.52% |      0.28% |      0.42%
  mpki                               |       0.44 |       0.44 |       0.50 |       0.60 |       0.47 |       0.84 |       0.46 |       0.68
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13018 |      13016 |      13010 |      13012 |      13012 |      13014 |      13012 |      13012
    num cache misses                 |         16 |         16 |         14 |         15 |         15 |         16 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     172667 |     155800 |     165748 |     155583 |     146124 |     145071 |     166743 |     148882
    num cache misses                 |      19200 |      16534 |      17662 |      16450 |      15709 |      14068 |      14863 |      13877
    miss rate                        |     11.12% |     10.61% |     10.66% |     10.57% |     10.75% |      9.70% |      8.91% |      9.32%
    mpki                             |      68.07 |      65.11 |      65.29 |      64.88 |      66.06 |      59.60 |      54.61 |      57.25
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      19344 |      16633 |      17776 |      16615 |      15832 |      14216 |      14998 |      13973
    num cache misses                 |       4192 |       3851 |       4075 |       3975 |       3663 |       3773 |       4241 |       3739
    miss rate                        |     21.67% |     23.15% |     22.92% |     23.92% |     23.14% |     26.54% |     28.28% |     26.76%
    mpki                             |      14.86 |      15.17 |      15.06 |      15.68 |      15.40 |      15.98 |      15.58 |      15.43
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4266 |       3914 |       4150 |       4061 |       3733 |       3844 |       4324 |       3790
    num cache misses                 |       4192 |       3851 |       4075 |       3975 |       3663 |       3773 |       4240 |       3739
    miss rate                        |     98.27% |     98.39% |     98.19% |     97.88% |     98.12% |     98.15% |     98.06% |     98.65%
    mpki                             |      14.86 |      15.17 |      15.06 |      15.68 |      15.40 |      15.98 |      15.58 |      15.43
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     163.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     109.74 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          3 |          3 |          4 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         57 |         46 |         50 |         68 |         60 |         52 |         67 |         42
