                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     605622 |     449872 |     397943 |     533280 |     483500 |     440576 |     313479 |     513477 |     488684 |     501564 |     489388 |     446169 |     560908 |     457460 |     348474 |     521869
  Cycles                             |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986 |     985986
  IPC                                |       0.61 |       0.46 |       0.40 |       0.54 |       0.49 |       0.45 |       0.32 |       0.52 |       0.50 |       0.51 |       0.50 |       0.45 |       0.57 |       0.46 |       0.35 |       0.53
  Time (ns)                          |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672 |     370672
  Idle time (ns)                     |      72759 |     131212 |     162086 |      93882 |     116820 |     121784 |     192171 |      75947 |     113749 |      82005 |      86090 |     104442 |      74682 |      96938 |     167561 |      71814
  Idle time (%)                      |      19.6% |      35.4% |      43.7% |      25.3% |      31.5% |      32.9% |      51.8% |      20.5% |      30.7% |      22.1% |      23.2% |      28.2% |      20.1% |      26.2% |      45.2% |      19.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     111776 |      80656 |      70273 |      97334 |      87404 |      78787 |      53386 |      93375 |      88418 |      90961 |      88583 |      79923 |     102841 |      82153 |      60360 |      95026
  num incorrect                      |        147 |        127 |        130 |        131 |        110 |        137 |        124 |        135 |        127 |        160 |        109 |        119 |        155 |        146 |        142 |        161
  misprediction rate                 |      0.13% |      0.16% |      0.18% |      0.13% |      0.13% |      0.17% |      0.23% |      0.14% |      0.14% |      0.18% |      0.12% |      0.15% |      0.15% |      0.18% |      0.23% |      0.17%
  mpki                               |       0.24 |       0.28 |       0.33 |       0.25 |       0.23 |       0.31 |       0.40 |       0.26 |       0.26 |       0.32 |       0.22 |       0.27 |       0.28 |       0.32 |       0.41 |       0.31
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13018 |      13016 |      13011 |      13016 |      13011 |      13016 |      13011 |      13011 |      13016 |      13016 |      13011 |      13017 |      13011 |      13021 |      13021 |      13009
    num cache misses                 |         16 |         16 |         15 |         16 |         15 |         16 |         15 |         15 |         16 |         16 |         15 |         16 |         15 |         16 |         16 |         14
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.11%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.03 |       0.03 |       0.04 |       0.05 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.05 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     366779 |     273365 |     242212 |     323409 |     293547 |     267786 |     191535 |     311533 |     296651 |     304378 |     297079 |     271141 |     339991 |     277906 |     212515 |     316568
    num cache misses                 |      29748 |      22406 |      21014 |      25173 |      22639 |      19995 |      14955 |      20394 |      26432 |      24327 |      24107 |      22886 |      26282 |      21973 |      15977 |      24690
