                                     | Core 0    
  Instructions                       |     189045
  Cycles                             |     229292
  IPC                                |       0.82
  Time (ns)                          |      86200
  Idle time (ns)                     |         -8
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      14004
  num incorrect                      |         10
  misprediction rate                 |      0.07%
  mpki                               |       0.05
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      32016
    num cache misses                 |         14
    miss rate                        |      0.04%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |     126053
    num cache misses                 |         11
    miss rate                        |      0.01%
    mpki                             |       0.06
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.13
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.13
DRAM summary                         |           
  num dram accesses                  |         25
  average dram access latency (ns)   |     117.77
  average dram queueing delay        |      64.34
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          7
  num loads from dram cache          |          0
  num loads from remote cache        |          0
