                                     | Core 0     | Core 1    
  Instructions                       |     605553 |     540745
  Cycles                             |     468066 |     468066
  IPC                                |       1.29 |       1.16
  Time (ns)                          |     175965 |     175965
  Idle time (ns)                     |       2952 |      15664
  Idle time (%)                      |       1.7% |       8.9%
Branch predictor stats               |            |           
  num correct                        |     117931 |     101733
  num incorrect                      |        206 |        208
  misprediction rate                 |      0.17% |      0.20%
  mpki                               |       0.34 |       0.38
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      32016 |      32022
    num cache misses                 |         14 |         17
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.02 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     334303 |     301906
    num cache misses                 |       1267 |       1315
    miss rate                        |      0.38% |      0.44%
    mpki                             |       2.09 |       2.43
  Cache L2                           |            |           
    num cache accesses               |       1975 |       1977
    num cache misses                 |         24 |          7
    miss rate                        |      1.22% |      0.35%
    mpki                             |       0.04 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         26 |         10
    num cache misses                 |         24 |          7
    miss rate                        |     92.31% |     70.00%
    mpki                             |       0.04 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |      74.63 |        inf
  average dram queueing delay        |      21.20 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
