                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   19955777 |   19469641 |   20073083 |   20944563
  Cycles                             |   13402563 |   13402563 |   13402563 |   13402563
  IPC                                |       1.49 |       1.45 |       1.50 |       1.56
  Time (ns)                          |    5038558 |    5038558 |    5038558 |    5038558
  Idle time (ns)                     |     220611 |     311599 |     200223 |      37414
  Idle time (%)                      |       4.4% |       6.2% |       4.0% |       0.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    4752756 |    4631198 |    4782116 |    5000010
  num incorrect                      |        434 |        459 |        412 |        385
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     212018 |     212014 |     212015 |     212010
    num cache misses                 |         16 |         16 |         17 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10234412 |    9991347 |   10293077 |   10728814
    num cache misses                 |       5493 |       5302 |       5383 |       5344
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.28 |       0.27 |       0.27 |       0.26
  Cache L2                           |            |            |            |           
    num cache accesses               |       6627 |       6296 |       6397 |       6235
    num cache misses                 |         19 |          6 |         12 |          7
    miss rate                        |      0.29% |      0.10% |      0.19% |      0.11%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         21 |          9 |         15 |         10
    num cache misses                 |         19 |          6 |         12 |          7
    miss rate                        |     90.48% |     66.67% |     80.00% |     70.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     111.19 |        inf |        inf |        inf
  average dram queueing delay        |      57.76 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
