                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   46022641 |   45997285 |   45246983 |   43263578 |   42763543 |   43911763 |   38023884 |   41714160
  Cycles                             |   26609527 |   26609527 |   26609527 |   26609527 |   26609527 |   26609527 |   26609527 |   26609527
  IPC                                |       1.73 |       1.73 |       1.70 |       1.63 |       1.61 |       1.65 |       1.43 |       1.57
  Time (ns)                          |   10003582 |   10003582 |   10003582 |   10003582 |   10003582 |   10003582 |   10003582 |   10003582
  Idle time (ns)                     |      83741 |      83132 |     234456 |     604938 |     703939 |     482345 |    1609649 |     901958
  Idle time (%)                      |       0.8% |       0.8% |       2.3% |       6.0% |       7.0% |       4.8% |      16.1% |       9.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   11269263 |   11262963 |   11075391 |   10579541 |   10454535 |   10741557 |    9269564 |   10192132
  num incorrect                      |        630 |        603 |        602 |        595 |        600 |        634 |        654 |        655
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     212018 |     212015 |     212013 |     212017 |     212013 |     212013 |     212013 |     212014
    num cache misses                 |         16 |         16 |         16 |         17 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   23267831 |   23255171 |   22880015 |   21888314 |   21638297 |   22212408 |   19268463 |   21113607
    num cache misses                 |      10231 |      10209 |      10023 |       9646 |       9660 |       9852 |       8661 |       9353
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.23 |       0.22 |       0.23 |       0.22
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11227 |      11179 |      10961 |      10587 |      10723 |      10835 |       9621 |      10300
    num cache misses                 |       5567 |       5612 |       5489 |       5487 |       5290 |       5419 |       4688 |       5086
    miss rate                        |     49.59% |     50.20% |     50.08% |     51.83% |     49.33% |     50.01% |     48.73% |     49.38%
    mpki                             |       0.12 |       0.12 |       0.12 |       0.13 |       0.12 |       0.12 |       0.12 |       0.12
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6525 |       6623 |       6512 |       6584 |       6416 |       6538 |       5799 |       6191
    num cache misses                 |       5564 |       5610 |       5486 |       5485 |       5288 |       5418 |       4688 |       5085
    miss rate                        |     85.27% |     84.70% |     84.24% |     83.31% |     82.42% |     82.87% |     80.84% |     82.14%
    mpki                             |       0.12 |       0.12 |       0.12 |       0.13 |       0.12 |       0.12 |       0.12 |       0.12
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     154.35 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     100.92 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          7 |          3 |          3 |          3 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1882 |       1562 |       1264 |       1059 |       1756 |       1602 |        942 |        878
