                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    5465685 |    4971468 |    5850916 |    5829103 |    5296931 |    5365379 |    4865391 |    4387515 |    4660106 |    5058427 |    4955691 |    5292607 |    4937747 |    3983507 |    5203749 |    4500479
  Cycles                             |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104 |    4455104
  IPC                                |       1.23 |       1.12 |       1.31 |       1.31 |       1.19 |       1.20 |       1.09 |       0.98 |       1.05 |       1.14 |       1.11 |       1.19 |       1.11 |       0.89 |       1.17 |       1.01
  Time (ns)                          |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851 |    1674851
  Idle time (ns)                     |     221465 |     358356 |      94298 |     108809 |      84423 |      75508 |     222487 |     367507 |     284643 |     158787 |     194148 |      77040 |     180004 |     467859 |      71724 |     304865
  Idle time (%)                      |      13.2% |      21.4% |       5.6% |       6.5% |       5.0% |       4.5% |      13.3% |      21.9% |      17.0% |       9.5% |      11.6% |       4.6% |      10.7% |      27.9% |       4.3% |      18.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1332713 |    1209265 |    1428995 |    1423570 |    1290541 |    1307683 |    1182740 |    1063147 |    1131375 |    1230867 |    1205262 |    1289424 |    1200700 |     962165 |    1267242 |    1091388
  num incorrect                      |        450 |        352 |        470 |        454 |        437 |        407 |        345 |        473 |        400 |        479 |        410 |        463 |        481 |        452 |        431 |        473
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.05% |      0.03% |      0.04%
  mpki                               |       0.08 |       0.07 |       0.08 |       0.08 |       0.08 |       0.08 |       0.07 |       0.11 |       0.09 |       0.09 |       0.08 |       0.09 |       0.10 |       0.11 |       0.08 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      32018 |      32017 |      32017 |      32022 |      32022 |      32022 |      32022 |      32022 |      32017 |      32022 |      32022 |      32022 |      32022 |      32022 |      32020 |      32022
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
