                                     | Core 0     | Core 1    
  Instructions                       |     448644 |     385370
  Cycles                             |     415549 |     415549
  IPC                                |       1.08 |       0.93
  Time (ns)                          |     156222 |     156222
  Idle time (ns)                     |      13581 |      25383
  Idle time (%)                      |       8.7% |      16.2%
Branch predictor stats               |            |           
  num correct                        |      78911 |      63096
  num incorrect                      |        252 |        251
  misprediction rate                 |      0.32% |      0.40%
  mpki                               |       0.56 |       0.65
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30016 |      30021
    num cache misses                 |         13 |         15
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.03 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     256352 |     224718
    num cache misses                 |        955 |        994
    miss rate                        |      0.37% |      0.44%
    mpki                             |       2.13 |       2.58
  Cache L2                           |            |           
    num cache accesses               |       1488 |       1491
    num cache misses                 |         14 |         16
    miss rate                        |      0.94% |      1.07%
    mpki                             |       0.03 |       0.04
  Cache L3                           |            |           
    num cache accesses               |         15 |         20
    num cache misses                 |         14 |         16
    miss rate                        |     93.33% |     80.00%
    mpki                             |       0.03 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      94.75 |        inf
  average dram queueing delay        |      41.32 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
