                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   20822689 |   20152611 |   17284016 |   20641237
  Cycles                             |   13287839 |   13287839 |   13287839 |   13287839
  IPC                                |       1.57 |       1.52 |       1.30 |       1.55
  Time (ns)                          |    4995429 |    4995429 |    4995429 |    4995429
  Idle time (ns)                     |      13466 |     140748 |     681631 |      38721
  Idle time (%)                      |       0.3% |       2.8% |      13.6% |       0.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    4969667 |    4802150 |    4085042 |    4924332
  num incorrect                      |        505 |        491 |        447 |        466
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     210018 |     210029 |     210024 |     210029
    num cache misses                 |         15 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10668369 |   10333320 |    8899030 |   10577637
    num cache misses                 |       6130 |       5881 |       5241 |       6026
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.29 |       0.29 |       0.30 |       0.29
  Cache L2                           |            |            |            |           
    num cache accesses               |       7345 |       6877 |       6275 |       7042
    num cache misses                 |          6 |          4 |         15 |         16
    miss rate                        |      0.08% |      0.06% |      0.24% |      0.23%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |          7 |          5 |         19 |         17
    num cache misses                 |          6 |          4 |         15 |         16
    miss rate                        |     85.71% |     80.00% |     78.95% |     94.12%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      78.74 |        inf |        inf |        inf
  average dram queueing delay        |      25.31 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          1 |          1 |          8 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
