                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2058756 |    2452852 |    2404967 |    2353320 |    2301963 |    1317354 |    2365463 |    2316540
  Cycles                             |    1942397 |    1942397 |    1942397 |    1942397 |    1942397 |    1942397 |    1942397 |    1942397
  IPC                                |       1.06 |       1.26 |       1.24 |       1.21 |       1.19 |       0.68 |       1.22 |       1.19
  Time (ns)                          |     730225 |     730225 |     730225 |     730225 |     730225 |     730225 |     730225 |     730225
  Idle time (ns)                     |     150925 |      53246 |      59446 |      75496 |      92256 |     338225 |      70793 |      67852
  Idle time (%)                      |      20.7% |       7.3% |       8.1% |      10.3% |      12.6% |      46.3% |       9.7% |       9.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     481240 |     579744 |     567790 |     554929 |     542048 |     295985 |     557905 |     545660
  num incorrect                      |        443 |        461 |        454 |        404 |        446 |        363 |        465 |        476
  misprediction rate                 |      0.09% |      0.08% |      0.08% |      0.07% |      0.08% |      0.12% |      0.08% |      0.09%
  mpki                               |       0.22 |       0.19 |       0.19 |       0.17 |       0.19 |       0.28 |       0.20 |       0.21
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30018 |      30021 |      30016 |      30016 |      30016 |      30013 |      30010 |      30016
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         14 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1061403 |    1258451 |    1234521 |    1208698 |    1183020 |     690715 |    1214768 |    1190307
    num cache misses                 |       6540 |       7641 |       7509 |       7299 |       7477 |       4275 |       7532 |       7398
    miss rate                        |      0.62% |      0.61% |      0.61% |      0.60% |      0.63% |      0.62% |      0.62% |      0.62%
    mpki                             |       3.18 |       3.12 |       3.12 |       3.10 |       3.25 |       3.25 |       3.18 |       3.19
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       7594 |       8609 |       8490 |       8265 |       8569 |       5326 |       8420 |       8399
    num cache misses                 |       3695 |       4469 |       4424 |       4221 |       4286 |       2440 |       4462 |       4324
    miss rate                        |     48.66% |     51.91% |     52.11% |     51.07% |     50.02% |     45.81% |     52.99% |     51.48%
    mpki                             |       1.79 |       1.82 |       1.84 |       1.79 |       1.86 |       1.85 |       1.89 |       1.87
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4516 |       5350 |       5316 |       5045 |       5221 |       3371 |       5245 |       5266
    num cache misses                 |       3651 |       4427 |       4389 |       4183 |       4236 |       2420 |       4410 |       4284
    miss rate                        |     80.85% |     82.75% |     82.56% |     82.91% |     81.13% |     71.79% |     84.08% |     81.35%
    mpki                             |       1.77 |       1.80 |       1.82 |       1.78 |       1.84 |       1.84 |       1.86 |       1.85
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      77.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      24.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          3 |          3 |          4 |          7 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1263 |       1364 |       1151 |        880 |       1487 |        660 |       1177 |        977
