                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4754715 |    5178890 |    2389925 |    5151137 |    4525979 |    4506843 |    4943224 |    4543122 |    4598707 |    4979651 |    4925787 |    4714725 |    4986584 |    4127904 |    4678513 |    4940351
  Cycles                             |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328 |    4398328
  IPC                                |       1.08 |       1.18 |       0.54 |       1.17 |       1.03 |       1.02 |       1.12 |       1.03 |       1.05 |       1.13 |       1.12 |       1.07 |       1.13 |       0.94 |       1.06 |       1.12
  Time (ns)                          |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507 |    1653507
  Idle time (ns)                     |     269794 |     138060 |     944557 |     160140 |     243098 |     258933 |      71815 |     246647 |     212067 |      72230 |     115483 |     189497 |      75273 |     355251 |     173470 |      99235
  Idle time (%)                      |      16.3% |       8.3% |      57.1% |       9.7% |      14.7% |      15.7% |       4.3% |      14.9% |      12.8% |       4.4% |       7.0% |      11.5% |       4.6% |      21.5% |      10.5% |       6.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1155334 |    1261323 |     564181 |    1254323 |    1098061 |    1093345 |    1202371 |    1102340 |    1116258 |    1211535 |    1198037 |    1145271 |    1213225 |     998634 |    1136243 |    1201610
  num incorrect                      |        344 |        408 |        302 |        472 |        425 |        375 |        434 |        437 |        425 |        387 |        416 |        410 |        422 |        346 |        396 |        475
  misprediction rate                 |      0.03% |      0.03% |      0.05% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.04%
  mpki                               |       0.07 |       0.08 |       0.13 |       0.09 |       0.09 |       0.08 |       0.09 |       0.10 |       0.09 |       0.08 |       0.08 |       0.09 |       0.08 |       0.08 |       0.08 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
