                                     | Core 0     | Core 1    
  Instructions                       |      96032 |      96036
  Cycles                             |     653553 |     653553
  IPC                                |       0.15 |       0.15
  Time (ns)                          |     245697 |     245697
  Idle time (ns)                     |     189616 |     192193
  Idle time (%)                      |      77.2% |      78.2%
Branch predictor stats               |            |           
  num correct                        |      10894 |      10878
  num incorrect                      |        291 |        293
  misprediction rate                 |      2.60% |      2.62%
  mpki                               |       3.03 |       3.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17387 |      17404
    num cache misses                 |         22 |         24
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.23 |       0.25
  Cache L1-D                         |            |           
    num cache accesses               |      51375 |      51401
    num cache misses                 |       1833 |       1728
    miss rate                        |      3.57% |      3.36%
    mpki                             |      19.09 |      17.99
  Cache L2                           |            |           
    num cache accesses               |       2825 |       2800
    num cache misses                 |       1858 |       1754
    miss rate                        |     65.77% |     62.64%
    mpki                             |      19.35 |      18.26
  Cache L3                           |            |           
    num cache accesses               |       2825 |       2800
    num cache misses                 |       1858 |       1754
    miss rate                        |     65.77% |     62.64%
    mpki                             |      19.35 |      18.26
DRAM summary                         |            |           
  num dram accesses                  |         44 |          0
  average dram access latency (ns)   |     137.16 |        inf
  average dram queueing delay        |      83.73 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1127 |       1048
