                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     223230 |     223062 |     223188 |     223348
  Cycles                             |    2334888 |    2334888 |    2334888 |    2334888
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     877778 |     877778 |     877778 |     877778
  Idle time (ns)                     |     704617 |     689779 |     691914 |     688907
  Idle time (%)                      |      80.3% |      78.6% |      78.8% |      78.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      19603 |      19714 |      19673 |      19708
  num incorrect                      |       1132 |       1065 |       1127 |       1078
  misprediction rate                 |      5.46% |      5.13% |      5.42% |      5.19%
  mpki                               |       5.07 |       4.77 |       5.05 |       4.83
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18668 |      18607 |      18616 |      18646
    num cache misses                 |         24 |         25 |         25 |         24
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     136813 |     136677 |     136718 |     136816
    num cache misses                 |       3520 |       3586 |       3345 |       3519
    miss rate                        |      2.57% |      2.62% |      2.45% |      2.57%
    mpki                             |      15.77 |      16.08 |      14.99 |      15.76
  Cache L2                           |            |            |            |           
    num cache accesses               |       5219 |       5268 |       4968 |       5142
    num cache misses                 |       3556 |       3629 |       3376 |       3555
    miss rate                        |     68.14% |     68.89% |     67.95% |     69.14%
    mpki                             |      15.93 |      16.27 |      15.13 |      15.92
  Cache L3                           |            |            |            |           
    num cache accesses               |       5219 |       5268 |       4968 |       5142
    num cache misses                 |       3556 |       3629 |       3376 |       3555
    miss rate                        |     68.14% |     68.89% |     67.95% |     69.14%
    mpki                             |      15.93 |      16.27 |      15.13 |      15.92
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1688 |          0 |          0 |          0
  average dram access latency (ns)   |      66.69 |        inf |        inf |        inf
  average dram queueing delay        |      13.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        317 |        359 |        327 |        387
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1853 |       1833 |       1705 |       1750
